100000 83206
1 52955 29563
52955 3589 59126
52955 37130 149499757
3589 73451 88689
3589 53544 957150038
3589 68582 250745101
73451 45773 118252
45773 99916 147815
99916 46622 177378
99916 12090 623151647
46622 8041 206941
8041 99241 236504
99241 15428 266067
15428 35949 295630
15428 44692 961678419
35949 49082 325193
49082 65648 354756
49082 41417 494243195
65648 65287 384319
65648 43157 980647159
65287 92118 413882
92118 41650 443445
92118 65788 543634698
92118 76441 307418945
41650 52376 473008
41650 22564 440805691
52376 32278 502571
52376 37549 655622554
52376 29972 760675096
32278 69721 532134
32278 36762 108624069
69721 17852 561697
69721 33816 316352268
17852 60550 591260
17852 26279 58343237
17852 62751 998624374
60550 80189 620823
80189 56198 650386
56198 38964 679949
38964 14148 709512
14148 58169 739075
58169 54119 768638
54119 4704 798201
4704 66476 827764
4704 83931 675527424
66476 34925 857327
34925 71871 886890
71871 24134 916453
24134 11353 946016
11353 76784 975579
76784 23120 1005142
23120 93705 1034705
23120 41632 776133465
93705 88552 1064268
88552 51210 1093831
51210 76749 1123394
76749 77282 1152957
77282 20303 1182520
20303 86183 1212083
86183 1261 1241646
1261 14200 1271209
14200 33091 1300772
33091 17596 1330335
17596 59509 1359898
59509 54494 1389461
54494 80502 1419024
80502 12658 1448587
12658 99094 1478150
99094 84748 1507713
84748 69309 1537276
69309 66404 1566839
66404 41835 1596402
41835 60719 1625965
41835 53940 218316374
60719 40642 1655528
40642 2512 1685091
40642 32944 132332325
2512 32937 1714654
32937 9663 1744217
9663 32618 1773780
32618 97192 1803343
97192 39816 1832906
39816 15882 1862469
39816 89829 265247573
15882 4530 1892032
4530 90932 1921595
90932 17818 1951158
90932 60716 316247317
17818 98213 1980721
98213 49787 2010284
49787 34648 2039847
34648 86977 2069410
34648 49522 17899590
86977 85911 2098973
86977 81947 708056229
85911 91492 2128536
91492 34833 2158099
34833 49483 2187662
34833 80714 110050209
34833 24308 249815754
49483 9635 2217225
9635 4042 2246788
4042 91355 2276351
4042 677 128514048
91355 4902 2305914
4902 82015 2335477
82015 78805 2365040
82015 61965 417502755
78805 74028 2394603
78805 39138 552951904
74028 98545 2424166
74028 34297 678524089
98545 95135 2453729
95135 15715 2483292
95135 98812 640573530
95135 6243 278932592
15715 5775 2512855
15715 66274 261867544
5775 71383 2542418
71383 37381 2571981
37381 70989 2601544
37381 59893 984240661
37381 29927 139110308
70989 41262 2631107
41262 28006 2660670
41262 97201 910421461
28006 38818 2690233
28006 12201 919069852
28006 93444 456500971
38818 29802 2719796
38818 50322 249894055
38818 21649 435518110
29802 68967 2749359
68967 93175 2778922
68967 14877 294223228
93175 44454 2808485
93175 12651 707188480
44454 40101 2838048
40101 98495 2867611
98495 35815 2897174
98495 1991 411518243
98495 70893 344430364
35815 18841 2926737
35815 34983 638964916
35815 53081 2880600
18841 15700 2956300
18841 49639 708719758
18841 20334 108193084
15700 3305 2985863
15700 6260 643876079
15700 44830 408318306
15700 5234 265638996
3305 45063 3015426
45063 68000 3044989
68000 47968 3074552
68000 30281 252018914
47968 25537 3104115
47968 66196 57651523
25537 32022 3133678
32022 73992 3163241
32022 55357 778091353
73992 2398 3192804
2398 20293 3222367
20293 7180 3251930
7180 1681 3281493
7180 49953 855863556
7180 85563 21795186
7180 68956 835013109
1681 18640 3311056
1681 72667 749091765
18640 20221 3340619
18640 20304 609213549
20221 63713 3370182
20221 71725 239518675
63713 92402 3399745
92402 23229 3429308
92402 18219 426908796
23229 92761 3458871
23229 22875 386385006
92761 34308 3488434
92761 38561 540201569
34308 41475 3517997
34308 16022 828669876
34308 46192 228446588
41475 1160 3547560
1160 56345 3577123
1160 15666 176973138
1160 90846 657477764
56345 3626 3606686
56345 37367 154629036
56345 97857 675950922
3626 43038 3636249
43038 9377 3665812
43038 14366 78595368
9377 78485 3695375
9377 24962 410768282
78485 78497 3724938
78497 14559 3754501
