200 2023
1 126 10
1 129 208
1 161 135
1 133 130
1 47 169
126 116 20
126 162 220
126 45 310
126 189 325
126 177 292
126 34 175
126 34 244
126 112 339
126 111 77
126 9 122
126 104 97
126 186 282
126 172 204
126 36 351
126 90 210
126 163 275
126 113 57
126 174 278
126 196 299
116 126 345
116 35 30
116 122 37
116 46 351
116 129 145
116 190 73
116 152 81
116 140 134
116 30 155
116 149 244
35 101 40
35 145 313
35 64 154
35 95 118
35 144 209
35 193 141
35 3 298
35 157 344
35 194 167
101 70 50
101 96 92
101 96 318
101 15 259
101 34 290
101 34 333
101 173 202
101 176 38
101 39 289
101 13 232
101 174 103
101 30 231
101 175 131
101 44 78
101 98 337
70 197 60
70 177 175
70 14 337
70 49 17
70 191 74
70 100 234
70 73 22
70 194 217
197 2 70
197 54 125
197 22 163
197 21 249
197 67 352
197 172 279
197 24 182
197 50 96
2 159 80
2 159 343
2 27 126
2 181 339
2 135 64
2 102 46
2 92 37
2 92 176
2 133 237
2 153 215
2 193 168
2 127 25
159 2 359
159 33 90
159 139 231
159 75 344
159 161 56
159 50 222
159 61 40
159 28 12
159 5 142
159 123 117
33 162 100
33 69 302
33 79 45
33 180 53
33 9 99
33 155 345
33 95 297
33 92 343
33 87 22
33 87 118
33 193 76
33 164 2
162 1 299
162 53 110
162 46 84
162 79 305
162 177 23
162 34 154
162 42 12
162 67 128
162 49 267
162 148 302
162 92 252
162 83 59
53 45 120
53 147 306
53 78 73
53 42 284
53 54 304
53 187 133
53 10 139
53 48 322
53 8 52
53 44 352
45 116 354
45 93 130
45 86 100
45 160 261
45 64 359
45 21 312
45 82 319
45 102 321
45 136 18
45 56 91
45 144 239
45 30 78
93 197 24
93 122 140
93 131 270
93 147 136
93 178 137
93 34 25
93 54 295
93 10 301
93 48 220
93 176 89
93 176 341
93 41 3
93 41 181
93 59 359
93 30 63
93 77 209
122 35 216
122 131 150
122 15 264
122 111 308
122 186 254
122 152 93
122 128 40
122 168 192
122 188 326
122 115 313
131 53 97
131 45 32
131 96 160
131 111 182
131 104 145
131 186 173
131 74 8
131 74 57
131 31 87
96 189 170
96 160 33
96 114 172
96 146 200
96 144 104
96 36 51
96 16 117
189 147 180
189 156 54
189 37 142
189 155 40
189 108 118
189 104 133
189 90 44
189 110 270
189 5 347
189 158 255
147 126 88
147 159 128
147 156 190
147 121 143
147 199 161
147 153 104
147 83 320
147 47 238
147 127 171
156 70 113
156 46 200
156 105 296
156 79 131
156 81 320
156 41 342
156 183 177
156 174 233
156 44 276
156 200 196
46 139 210
46 26 98
46 124 352
46 64 233
46 118 69
46 118 315
46 56 177
46 195 285
46 94 179
46 83 236
46 196 47
46 18 327
46 72 23
46 158 119
139 1 217
139 86 220
139 99 23
139 136 280
139 134 353
139 117 213
139 157 321
86 70 167
86 46 106
86 69 230
86 65 56
86 64 3
86 155 316
86 92 15
86 150 350
86 16 334
86 127 251
86 164 308
69 2 292
69 139 120
69 26 240
69 160 119
69 40 316
69 199 198
69 102 52
69 113 318
69 183 217
69 47 304
26 122 323
26 120 250
26 178 291
26 111 180
26 104 179
26 136 284
26 39 99
26 83 197
26 72 252
120 162 341
120 156 182
120 185 260
120 66 349
120 199 321
120 34 82
120 88 105
120 67 30
120 142 333
120 198 164
120 41 221
120 31 314
120 94 55
120 73 114
120 77 239
185 162 101
185 178 270
185 160 70
185 180 59
185 81 327
185 68 274
185 97 77
185 128 260
185 113 26
185 138 331
185 5 235
178 151 280
178 25 243
178 111 274
178 167 225
178 95 29
178 118 86
178 130 315
178 74 173
178 18 308
178 73 25
151 27 290
151 182 3
151 17 336
151 81 177
151 171 311
151 52 154
27 33 266
27 166 300
27 90 117
27 113 352
27 94 163
27 73 75
166 27 239
166 27 299
166 192 310
166 15 314
166 121 278
166 167 351
166 171 169
166 19 2
166 30 154
166 73 317
166 200 261
192 33 353
192 131 3
192 160 320
192 62 169
192 80 153
192 10 67
192 68 112
192 168 275
192 19 308
192 125 199
192 196 194
192 164 20
160 116 236
160 105 330
160 109 103
160 181 115
160 181 134
160 137 188
160 92 250
160 87 52
160 143 207
160 143 325
160 198 336
160 165 329
160 153 124
160 23 166
105 159 324
105 91 340
105 14 205
105 17 122
105 155 142
105 176 295
105 154 302
105 92 175
105 90 121
105 158 72
91 185 286
91 25 350
91 50 124
91 61 157
91 4 208
91 174 186
91 77 290
25 156 259
25 80 323
25 118 319
25 87 212
25 152 233
25 52 155
25 119 28
25 193 209
25 47 294
25 115 355
79 96 67
79 26 311
79 199 163
79 167 358
79 155 292
79 102 242
79 24 34
79 163 175
79 125 335
79 29 22
79 175 242
79 175 276
79 110 91
79 123 342
79 55 329
66 120 15
66 62 4
66 167 309
66 11 329
66 154 334
66 150 223
66 77 288
78 126 94
78 160 44
78 114 105
78 80 330
78 118 139
78 85 298
78 186 37
78 50 289
78 174 307
78 55 53
71 116 127
71 96 31
71 21 22
71 80 128
71 68 300
71 172 161
71 143 41
71 170 178
71 47 31
75 126 328
75 96 342
75 69 181
75 26 214
75 173 110
75 145 333
75 154 119
75 97 358
75 56 101
75 132 346
75 140 222
75 200 280
15 33 35
15 120 117
15 178 47
15 66 118
15 177 280
15 63 127
15 63 146
15 11 301
15 48 12
15 24 126
15 50 31
15 144 39
15 198 323
15 113 124
15 18 259
114 2 194
114 45 141
114 122 144
114 156 195
114 120 54
114 42 294
114 37 349
114 24 7
114 36 263
114 41 293
114 94 231
184 25 140
184 182 220
184 167 239
184 130 315
184 186 130
184 83 215
184 110 39
184 110 99
177 96 43
177 185 149
177 160 359
177 97 267
177 163 73
40 70 202
40 114 279
40 62 64
40 129 27
40 95 120
40 104 287
40 56 51
40 198 239
40 74 57
40 193 274
40 83 189
40 30 252
40 110 91
40 157 93
182 151 200
182 40 343
182 62 213
182 180 303
182 54 265
182 10 131
182 102 226
182 61 83
182 170 110
182 59 180
32 114 91
32 184 204
32 103 138
32 43 20
32 167 122
32 190 240
32 154 255
32 92 57
32 92 181
32 195 338
124 71 79
124 199 223
124 64 286
124 67 105
124 56 214
124 198 112
124 94 78
124 183 334
124 57 271
124 158 215
124 55 33
103 2 156
103 122 288
103 147 325
103 27 282
103 25 22
103 114 165
103 99 168
103 22 15
103 38 294
103 176 310
103 89 180
103 163 302
103 140 346
103 110 359
103 115 131
121 181 280
121 136 220
121 16 80
121 194 318
121 164 95
121 55 203
62 162 12
62 162 223
62 156 86
62 177 241
62 95 192
62 97 303
62 198 263
62 29 100
62 183 211
62 83 353
62 51 11
65 182 200
65 99 126
65 42 306
65 54 155
65 169 87
65 188 267
65 194 259
129 122 315
129 75 209
129 124 205
129 141 52
129 190 121
129 67 202
129 106 273
129 107 82
129 83 23
129 28 10
129 115 276
199 126 199
199 126 322
199 45 72
199 189 94
199 161 241
199 161 302
199 111 330
199 196 281
43 156 212
43 25 9
43 64 38
43 7 221
43 144 86
43 168 299
43 28 272
43 77 134
99 185 8
99 25 6
99 25 205
99 75 254
99 129 269
99 109 234
99 106 322
99 148 164
99 154 86
99 89 14
99 152 154
99 153 337
99 83 17
99 5 234
14 156 183
14 185 42
14 185 214
14 79 158
14 182 102
14 99 261
14 190 290
14 68 219
14 87 340
14 100 198
14 98 269
180 124 229
180 67 201
180 67 305
180 198 28
180 39 338
180 4 267
180 51 206
34 101 113
34 177 354
34 95 259
34 76 132
34 73 133
34 149 282
34 55 88
42 35 318
42 184 86
42 180 337
42 37 323
42 102 200
42 52 42
42 36 203
42 30 92
173 126 275
173 147 75
173 129 120
173 171 148
173 13 225
173 117 281
173 83 270
54 147 180
54 192 13
54 75 304
54 135 103
54 38 112
54 24 268
54 144 302
54 29 349
54 60 65
54 169 61
54 127 244
54 3 299
109 197 110
109 131 299
109 62 217
109 161 41
109 186 154
109 152 83
109 191 138
109 142 180
109 128 223
141 86 350
141 71 272
141 8 187
141 198 129
141 170 170
141 113 178
141 169 168
141 123 129
17 96 189
17 71 180
17 99 326
17 54 346
17 112 80
17 95 139
17 191 58
17 20 108
17 97 170
17 119 33
17 138 154
112 101 15
112 147 35
112 105 3
112 75 36
112 62 193
112 190 136
112 59 38
112 4 187
112 57 180
112 164 39
181 26 59
181 166 325
181 184 127
181 54 348
181 84 115
181 104 153
181 82 205
181 92 216
181 6 344
181 16 32
181 179 140
181 132 190
181 165 245
181 44 215
135 96 244
135 189 156
135 177 239
135 145 176
135 11 32
135 89 287
135 41 285
135 98 248
161 122 119
161 14 39
161 141 123
161 12 75
161 171 17
161 152 179
161 3 321
161 77 63
84 178 254
84 38 166
84 118 352
84 92 2
84 133 80
84 31 276
84 183 232
84 174 150
145 126 233
145 116 163
145 69 139
145 166 130
145 192 295
145 184 306
145 42 2
145 111 55
145 95 293
145 144 93
145 36 317
145 13 287
145 188 2
63 93 316
63 156 297
63 46 76
63 166 279
63 10 72
63 176 248
63 106 57
63 24 297
63 142 333
63 76 310
63 77 195
63 72 213
137 103 320
137 180 90
137 88 86
137 41 355
137 175 142
137 100 185
64 45 75
64 14 194
64 34 177
64 80 48
64 10 332
64 186 334
64 90 256
64 107 183
81 42 306
81 64 25
81 21 273
81 130 183
81 150 280
81 39 348
81 128 229
81 117 65
81 195 69
81 30 68
81 51 21
81 164 58
81 200 136
111 189 191
111 69 65
111 27 1
111 109 182
111 84 352
111 176 350
111 140 321
111 113 14
167 122 15
167 160 239
167 182 22
167 68 189
167 186 3
167 150 97
167 16 147
167 41 132
167 5 348
167 115 214
22 160 175
22 32 268
22 62 327
22 172 312
9 42 319
9 111 203
9 88 68
9 130 154
9 48 109
9 7 283
9 191 255
