200 2036
1 107 10
1 143 277
1 98 395
1 92 121
1 43 441
1 71 250
1 157 83
1 67 318
1 60 325
107 148 20
107 103 140
107 110 52
107 53 247
107 184 140
107 176 106
107 80 139
107 152 70
107 175 109
107 135 242
107 111 215
107 69 268
107 65 459
148 146 30
148 185 230
148 74 194
148 16 78
148 169 230
148 49 382
148 35 429
148 147 353
148 3 446
148 200 219
146 144 40
146 61 403
146 160 321
146 184 337
146 36 264
146 174 105
146 145 132
146 49 118
146 147 92
146 48 122
146 23 144
144 87 50
144 74 278
144 191 188
144 115 319
144 118 372
144 64 113
144 82 411
144 88 324
144 180 222
144 8 273
144 130 367
144 186 347
87 106 60
87 142 453
87 59 121
87 52 299
87 82 270
87 27 128
106 103 70
106 110 292
106 52 304
106 38 200
106 38 323
106 36 123
106 91 300
106 191 11
106 88 270
106 29 101
106 81 265
106 128 87
106 140 243
103 1 443
103 4 80
103 59 256
103 7 274
103 116 6
103 90 70
103 47 367
103 29 178
103 163 244
4 87 123
4 70 90
4 170 409
4 66 431
4 140 454
70 87 206
70 110 100
70 125 442
70 59 280
70 175 228
70 49 63
110 107 191
110 142 110
110 173 385
110 164 342
110 68 401
110 154 183
110 190 438
142 87 107
142 166 120
142 131 16
142 135 436
142 102 217
142 141 312
142 181 279
142 168 320
142 51 433
142 129 97
166 151 130
166 20 351
166 82 29
166 85 445
166 94 162
166 26 230
166 89 356
151 61 140
151 185 126
151 36 132
151 119 8
151 141 82
151 66 175
151 178 282
151 100 69
151 130 351
151 130 381
151 190 398
151 134 115
151 65 378
61 9 150
61 131 336
61 176 445
61 38 13
61 112 214
61 24 30
61 27 365
61 139 68
61 168 364
9 160 160
9 53 399
9 169 136
9 169 406
9 24 434
9 28 165
9 162 460
9 60 112
9 113 32
9 189 229
9 57 188
160 106 453
160 33 170
160 40 30
160 90 361
160 182 12
160 114 96
33 107 146
33 97 180
33 76 93
33 91 101
33 183 359
33 124 177
33 82 440
33 8 309
33 130 384
33 128 106
33 65 437
97 1 16
97 53 190
97 165 244
97 174 338
97 92 397
97 91 127
97 82 74
97 62 350
97 30 290
97 49 459
97 99 261
97 22 436
97 127 259
97 157 136
97 86 414
97 132 71
97 69 431
97 122 368
97 163 153
97 129 282
97 114 291
53 146 62
53 9 183
53 165 200
53 131 340
53 150 52
53 7 300
53 91 40
53 24 267
53 104 260
53 73 50
53 48 344
53 69 41
53 12 440
165 103 48
165 103 219
165 167 210
165 125 55
165 149 235
165 174 45
165 195 80
165 195 114
165 124 379
165 37 453
165 62 247
165 177 426
165 41 55
165 129 129
165 108 36
167 184 220
167 98 389
167 3 348
167 75 340
167 81 357
167 100 276
184 131 230
184 149 156
184 67 391
184 72 389
184 155 159
184 84 343
131 185 240
131 125 368
131 96 21
131 28 223
131 88 52
131 48 140
131 197 113
131 81 433
185 103 199
185 33 246
185 184 455
185 125 250
185 174 296
185 32 96
185 37 65
185 49 253
185 29 391
185 41 304
185 68 275
185 55 61
185 155 54
185 18 138
185 10 195
125 166 53
125 150 260
125 98 263
125 82 130
125 99 242
125 136 237
125 155 161
125 187 131
150 143 270
150 59 149
150 158 394
150 173 188
150 161 129
150 41 375
150 181 306
150 179 147
150 60 279
150 51 440
150 114 374
143 59 280
143 74 423
143 16 20
143 156 432
143 133 425
143 44 252
143 37 100
143 147 212
143 197 307
143 129 38
59 74 290
59 34 87
59 191 113
59 177 416
59 132 183
59 10 187
74 176 300
74 98 411
74 156 82
74 28 57
74 139 206
74 196 161
74 105 455
176 166 54
176 9 59
176 25 310
176 36 171
176 64 268
176 194 42
176 127 416
176 157 72
176 93 7
176 66 460
176 197 115
176 190 150
176 5 204
176 113 393
25 166 364
25 149 320
25 158 116
25 71 411
25 11 99
149 52 330
149 20 24
149 98 400
149 92 333
149 82 327
149 95 424
149 139 201
149 180 447
149 66 205
149 8 371
149 159 137
149 54 98
149 122 338
149 51 103
149 113 168
52 61 66
52 158 340
52 16 286
52 98 383
52 78 289
52 177 267
52 101 170
52 163 194
158 106 412
158 165 225
158 20 350
158 34 27
158 37 14
158 119 278
158 68 239
158 42 138
158 51 192
158 5 125
20 160 335
20 38 360
20 16 284
20 115 220
20 118 427
20 194 428
20 43 58
20 28 445
20 109 331
20 95 185
20 127 318
20 170 141
20 56 419
20 2 336
20 51 321
38 151 79
38 25 192
38 158 188
38 36 201
38 36 370
38 63 143
38 187 363
36 107 153
36 70 443
36 79 380
36 86 381
36 66 136
36 138 366
36 11 419
36 126 337
36 10 304
79 76 390
79 169 110
79 91 164
79 28 440
79 181 437
79 179 131
79 132 269
79 23 129
79 5 364
79 121 361
76 7 400
76 191 57
76 162 449
76 136 133
76 163 236
76 12 380
76 114 342
7 131 98
7 74 405
7 25 132
7 16 274
7 16 410
7 83 90
7 99 399
7 104 71
7 199 373
7 48 165
7 94 438
7 123 374
7 140 341
16 33 135
16 98 420
16 92 310
16 96 332
16 127 276
16 138 192
16 81 342
16 187 254
98 21 430
98 169 122
98 13 219
98 40 31
98 28 289
98 109 228
98 27 64
98 141 45
98 101 144
98 199 321
98 55 33
21 185 86
21 156 440
21 169 46
21 133 221
21 135 428
21 198 162
21 88 440
21 139 259
21 93 149
21 120 111
21 132 241
21 192 386
21 123 218
21 114 282
156 167 363
156 125 170
156 36 434
156 169 450
156 141 150
156 89 364
156 54 389
156 5 309
156 121 58
169 87 17
169 9 290
169 79 249
169 21 370
169 40 458
169 198 309
169 104 102
169 182 238
169 2 108
169 54 267
169 129 141
171 148 59
171 146 368
171 70 317
171 9 318
171 169 299
171 63 218
171 32 120
171 50 449
171 49 128
171 102 215
171 119 207
171 141 42
171 181 441
171 42 392
171 163 133
171 108 269
174 20 162
174 38 403
174 98 364
174 37 458
174 161 110
174 102 351
174 109 76
174 119 256
174 66 388
174 81 421
174 15 367
78 103 177
78 151 391
78 167 307
78 59 442
78 49 236
78 86 298
78 67 202
78 179 163
78 17 260
78 5 201
78 108 132
63 9 373
63 156 297
63 152 267
63 175 453
63 44 150
63 116 87
63 116 408
63 62 290
63 162 33
63 127 45
63 127 297
63 94 368
63 84 162
63 188 397
63 54 190
63 5 33
63 5 307
63 140 282
92 158 307
92 79 70
92 91 404
92 37 372
92 35 155
92 95 404
92 181 414
92 136 362
92 120 318
92 69 159
92 89 12
92 113 357
92 186 212
173 149 44
173 38 123
173 112 267
173 47 225
173 49 363
173 73 15
173 193 27
173 84 250
173 178 327
112 59 192
112 63 234
112 152 134
112 28 216
112 179 123
112 137 100
80 103 452
80 53 402
80 52 6
80 50 243
80 96 169
80 83 386
80 86 66
80 155 47
80 42 101
80 122 391
80 123 145
80 46 345
133 144 375
133 185 404
133 158 205
133 174 398
133 41 123
133 58 386
133 6 50
133 155 195
133 187 297
133 134 400
133 114 125
195 148 338
195 151 207
195 20 196
195 13 196
195 22 60
195 27 361
195 172 178
195 26 197
195 179 168
195 57 342
32 20 329
32 183 419
32 161 402
32 31 354
32 179 442
32 187 35
32 117 267
32 114 30
91 59 216
91 158 83
91 79 450
91 169 108
91 34 338
91 90 445
91 30 50
91 49 120
91 29 47
91 105 442
50 4 237
50 125 79
50 34 348
50 31 92
50 75 410
50 58 146
50 6 419
50 11 91
50 100 312
50 187 299
50 5 122
50 5 165
34 110 8
34 78 197
34 47 80
34 120 36
34 138 418
34 122 236
152 98 73
152 92 36
152 91 26
152 191 32
152 194 412
152 83 60
152 88 429
152 41 312
152 60 244
152 60 356
152 113 173
152 10 189
152 137 413
14 112 242
14 91 446
14 193 460
14 75 221
14 39 306
14 113 379
183 166 131
183 184 170
183 98 127
183 78 273
183 13 49
183 135 63
183 3 295
183 85 331
183 72 155
183 8 51
183 168 325
183 134 79
191 166 293
191 158 148
191 20 420
191 38 243
191 169 327
191 164 328
191 147 132
191 75 36
191 179 457
191 89 326
191 130 113
115 97 41
115 125 107
115 150 153
115 52 59
115 80 339
115 133 109
115 177 369
115 147 34
115 73 453
115 172 272
115 197 295
115 81 375
115 89 93
164 4 295
164 63 8
164 43 104
164 198 421
164 177 71
164 22 103
164 119 98
164 85 79
164 187 362
118 33 64
118 161 322
118 99 147
118 109 74
118 73 406
118 132 384
118 197 86
118 178 413
118 154 234
175 59 287
175 158 196
175 115 142
175 118 105
175 95 116
175 188 85
175 39 89
175 186 358
145 107 60
145 148 202
145 80 11
145 32 222
145 44 15
145 24 99
145 124 358
145 37 420
145 172 391
145 67 12
145 6 441
145 196 209
145 94 222
145 81 450
145 18 335
44 80 455
44 115 161
44 194 270
44 37 12
44 62 428
44 95 122
44 58 237
44 23 177
44 5 186
116 110 131
116 97 81
116 53 146
116 104 365
116 101 304
116 170 78
116 85 67
116 85 400
116 138 448
116 132 223
116 128 306
116 187 8
116 134 169
116 10 173
24 148 96
24 158 361
24 36 57
24 7 319
24 118 158
24 40 182
24 177 165
24 22 147
24 102 270
24 170 27
24 170 263
24 26 322
24 77 340
13 166 60
13 176 237
13 76 450
13 177 389
13 181 267
40 1 249
40 148 172
40 4 281
40 125 128
40 112 443
40 195 166
40 47 24
40 102 293
40 139 219
40 101 83
40 101 142
40 72 223
40 89 150
40 128 384
64 176 175
64 133 406
64 47 386
64 141 451
64 3 435
64 181 111
64 48 435
64 188 285
64 15 9
64 113 192
64 114 34
194 61 355
194 52 246
194 91 445
194 28 208
194 62 270
194 102 315
194 54 108
43 175 294
43 47 344
43 49 402
43 95 154
43 71 12
43 85 383
43 155 188
43 8 327
43 69 125
124 20 205
124 139 90
124 73 301
124 6 59
124 85 226
124 26 114
124 111 136
124 100 116
124 134 220
124 186 13
37 9 299
37 160 321
37 74 7
37 63 216
37 50 418
37 194 367
37 30 27
37 101 244
37 75 41
37 105 340
37 178 447
37 128 14
90 103 249
90 184 93
90 7 185
