8 300 40
4 4 1 47
3 1 2 75
4 6 3 17
0 4 2 28
1 1 3 18
0 7 2 40
2 4 1 40
2 1 1 91
4 3 6 31
4 5 2 34
2 4 5 21
4 2 6 11
1 3 4 91
3 3 4 65
4 5 3 1
1 5 3 2
2 8 1 89
3 7 2 32
1 8 1 75
1 4 5 94
2 2 7 9
4 3 5 51
1 4 2 7
4 7 1 38
4 2 4 83
4 6 2 58
3 1 6 54
1 5 3 79
3 7 1 32
4 8 1 58
3 8 1 67
3 6 2 100
0 1 1 75
0 2 3 18
2 7 1 98
1 2 1 69
2 8 1 13
3 3 6 34
1 8 1 8
2 2 7 50
0 5 1 88
4 4 4 90
1 3 5 40
2 5 2 16
2 7 1 99
1 3 5 71
0 7 1 90
2 3 6 42
3 7 2 75
0 2 2 77
4 4 3 55
1 5 1 68
1 3 2 78
1 8 1 82
0 2 2 69
0 2 3 63
4 5 3 23
0 6 1 4
4 2 5 11
3 2 6 62
3 5 3 46
1 3 3 6
4 3 4 42
3 6 3 89
2 1 4 64
1 7 2 97
4 5 2 76
2 5 4 41
4 3 2 56
2 3 6 31
3 1 8 4
0 7 2 25
2 3 1 74
2 6 3 54
1 6 1 86
1 4 1 9
3 7 1 14
2 8 1 94
1 4 2 63
3 5 4 30
1 1 6 85
0 1 5 10
2 4 3 94
3 1 3 31
3 8 1 95
4 2 1 6
4 4 2 31
3 1 3 92
1 5 1 38
2 2 1 66
0 7 2 7
0 4 3 9
3 7 2 92
3 2 6 99
1 2 7 81
1 2 4 19
0 6 2 88
0 8 1 88
3 7 1 89
0 3 4 45
3 2 3 50
2 6 1 41
0 5 1 32
0 8 1 76
2 4 1 59
3 4 1 54
2 5 3 49
4 8 1 78
0 3 2 90
3 1 1 68
1 5 3 72
4 3 2 65
0 8 1 16
1 5 4 7
4 7 2 82
2 2 5 41
3 1 5 3
3 8 1 65
0 3 5 66
3 4 1 88
2 8 1 73
4 2 2 32
4 7 2 80
0 1 2 20
3 5 1 90
4 4 2 35
0 5 3 44
2 2 3 45
1 6 1 28
2 6 2 71
0 5 4 79
4 5 1 29
4 5 1 41
0 6 1 14
2 5 3 48
3 5 2 22
2 2 3 97
2 6 1 6
2 7 1 36
1 7 1 20
2 3 3 14
2 5 2 35
1 3 1 77
3 5 4 93
1 2 1 98
0 4 4 20
0 7 1 97
1 6 2 87
3 6 3 24
2 2 3 89
0 5 3 88
1 3 5 13
3 8 1 65
1 7 1 6
2 4 1 68
1 2 6 52
4 7 1 56
0 3 6 80
1 5 4 79
0 6 3 67
3 3 6 49
0 7 1 54
4 7 1 5
1 4 4 66
0 4 2 32
1 2 2 68
3 2 4 68
2 6 3 65
3 3 6 2
2 4 1 2
3 6 2 26
0 3 5 21
4 7 1 74
2 6 3 49
1 4 1 78
2 3 6 85
4 1 7 28
1 7 1 85
0 3 4 81
0 7 2 1
2 7 2 93
1 7 1 28
4 3 1 94
4 6 1 54
3 4 4 88
2 7 1 64
1 5 1 81
0 8 1 31
2 5 4 37
0 6 3 80
2 8 1 22
2 5 4 16
0 4 1 49
3 4 4 41
1 4 3 66
3 6 1 42
3 8 1 35
0 2 3 61
2 2 5 52
1 3 1 60
3 1 5 95
1 6 1 26
3 1 7 25
1 2 4 98
4 7 2 90
2 3 6 16
4 1 2 12
1 5 1 81
4 3 3 55
4 6 3 78
2 3 3 33
2 3 2 20
1 5 2 22
0 1 1 44
1 6 2 4
3 5 4 27
4 3 3 59
2 3 3 70
4 2 1 74
0 1 5 14
4 7 1 79
1 4 2 53
0 7 1 94
0 1 6 86
2 8 1 93
3 5 4 60
2 6 1 64
0 5 3 94
2 7 2 10
3 5 2 95
0 6 1 64
1 3 4 35
4 2 3 45
1 5 3 54
0 8 1 7
2 5 4 63
0 3 1 74
1 3 5 42
3 2 2 53
1 3 1 40
2 2 2 73
0 1 2 31
2 7 2 56
3 3 3 34
0 6 1 91
2 7 1 63
0 4 1 54
0 7 1 51
2 7 2 99
2 3 4 72
0 3 1 54
1 7 1 25
3 5 3 69
3 7 1 93
4 3 4 81
0 1 8 4
4 1 7 90
3 2 3 43
1 4 1 33
1 7 2 78
2 2 4 97
0 5 2 36
0 7 1 81
1 8 1 89
3 8 1 22
2 7 2 46
1 3 5 70
0 5 2 17
2 3 1 74
2 8 1 73
1 8 1 2
0 5 1 80
1 4 3 31
3 8 1 52
4 6 2 84
4 8 1 52
4 3 1 12
2 8 1 43
2 6 2 60
4 6 2 84
4 6 3 82
3 7 2 34
0 7 1 43
4 8 1 53
2 7 2 67
1 6 1 62
1 2 4 68
2 5 3 45
3 5 3 10
1 3 5 37
1 6 1 23
3 6 1 87
4 1 4 20
1 1 5 86
1 3 5 49
4 1 6 100
3 1 7 51
2 5 4 38
3 1 7 85
3 8 1 94
