6 254 24
4 1 4 64
0 1 5 84
4 6 1 56
3 4 1 72
2 2 4 88
3 4 1 6
2 3 4 77
4 2 1 27
2 3 1 15
3 4 2 76
4 4 1 77
3 3 2 18
3 3 4 46
2 5 2 35
1 4 1 67
1 6 1 67
2 4 3 91
4 5 2 67
0 1 5 81
4 3 4 92
3 2 4 62
3 1 6 8
3 1 1 65
4 2 1 74
1 4 3 53
1 5 1 57
0 5 1 44
2 1 3 73
0 4 1 70
2 2 5 56
2 5 1 86
3 1 1 5
3 2 3 51
3 4 1 35
2 2 3 42
1 4 3 50
4 3 2 66
3 5 1 51
2 4 2 74
2 6 1 15
0 2 3 76
1 4 2 76
0 1 6 28
4 6 1 29
2 6 1 48
3 1 3 49
4 4 3 89
0 2 2 40
0 1 5 68
3 5 2 20
0 3 4 25
0 1 1 56
1 5 1 62
4 2 2 95
0 1 4 12
4 5 1 37
2 2 4 47
2 4 3 71
0 2 1 93
1 6 1 90
4 4 3 59
0 2 2 4
3 2 2 46
4 5 2 73
2 2 5 30
1 6 1 54
1 6 1 89
3 3 3 28
2 4 3 27
4 4 1 76
1 2 3 95
3 2 1 12
0 6 1 52
3 3 4 79
3 6 1 52
3 5 2 48
4 4 2 87
2 5 1 64
4 1 6 31
4 5 2 86
3 3 4 57
3 6 1 85
1 5 2 13
2 1 2 96
3 3 1 26
1 3 1 66
2 6 1 83
2 1 3 43
4 4 3 65
4 2 4 21
0 1 4 23
3 4 1 87
4 1 3 48
0 2 3 48
2 4 1 82
2 6 1 16
1 5 2 73
1 1 5 44
0 4 2 55
2 3 2 90
3 4 2 85
0 1 4 77
3 3 1 84
1 4 2 56
4 6 1 36
4 3 3 51
3 5 2 39
4 5 2 27
4 2 3 46
1 1 2 86
2 5 2 85
1 6 1 56
0 6 1 90
3 4 1 41
4 3 1 34
4 3 4 20
0 2 4 9
0 4 1 90
3 1 4 2
3 5 1 10
2 2 5 11
3 1 6 87
0 4 1 4
3 3 2 72
4 1 2 48
4 6 1 65
4 1 6 89
1 3 2 100
1 4 1 40
4 5 1 43
4 4 1 34
1 1 6 28
0 3 4 31
2 4 2 19
2 3 4 1
1 3 2 25
1 6 1 60
4 2 2 67
0 2 5 86
0 2 5 2
0 1 1 100
3 1 1 48
4 5 2 75
3 5 2 97
0 3 3 83
2 5 2 74
1 1 6 50
2 4 2 60
0 1 6 29
0 5 2 25
2 5 1 100
4 3 2 41
2 1 4 98
0 6 1 24
2 5 1 21
3 6 1 77
4 3 2 73
4 6 1 21
2 1 4 89
0 6 1 59
2 5 1 75
4 3 1 38
2 6 1 28
3 3 1 30
4 6 1 56
3 1 5 56
2 6 1 9
4 5 2 33
0 2 3 64
4 4 2 3
2 5 1 82
2 3 3 94
1 3 2 71
3 3 3 38
2 2 2 41
4 6 1 3
3 4 3 72
1 3 2 27
1 5 2 99
4 2 1 32
3 1 2 9
1 6 1 76
3 6 1 91
1 3 2 51
2 1 1 4
2 4 2 18
1 6 1 43
2 3 2 75
2 6 1 30
2 4 3 9
1 6 1 53
3 2 5 83
1 6 1 74
0 6 1 49
1 5 1 90
1 4 3 100
4 6 1 34
0 4 1 5
2 2 4 90
3 3 1 50
3 6 1 32
3 3 4 63
3 4 1 1
2 1 5 89
2 5 1 62
3 3 4 89
4 4 3 67
2 4 1 44
4 5 1 78
2 4 1 48
4 3 1 75
2 4 3 88
1 4 2 52
3 5 1 67
0 2 4 34
3 2 5 38
2 3 1 66
2 5 1 48
4 3 1 36
1 3 1 68
3 6 1 74
1 2 5 81
1 6 1 37
1 5 2 46
3 5 2 82
3 2 3 4
0 1 6 49
1 4 3 18
3 1 5 20
3 5 2 75
0 3 2 3
3 3 3 78
0 1 2 64
2 1 3 42
4 3 4 28
0 6 1 68
2 2 3 20
2 6 1 87
1 1 5 81
2 5 2 62
4 4 1 43
1 4 2 72
1 5 2 67
3 5 2 72
1 5 2 64
4 2 1 35
3 5 1 57
1 6 1 76
2 5 1 24
2 5 2 30
2 6 1 62
3 4 2 77
3 6 1 51
4 2 2 34
