6 126 8
0 4 1 12
4 2 2 71
2 4 2 74
1 6 1 51
0 4 2 75
1 4 2 19
3 4 2 19
0 1 4 52
4 6 1 88
3 3 1 33
3 6 1 74
0 6 1 10
0 5 2 15
3 4 1 68
0 4 2 75
2 4 2 16
2 1 4 56
0 3 1 18
4 6 1 90
2 2 4 25
2 6 1 87
0 4 3 53
3 2 1 94
0 4 1 14
2 1 5 95
4 6 1 83
1 1 3 5
1 2 3 55
0 5 1 29
4 4 2 13
3 2 1 57
3 5 2 20
2 4 3 9
3 6 1 86
0 1 2 99
4 1 2 53
2 4 1 91
0 6 1 56
2 4 1 79
1 6 1 33
0 5 1 83
1 6 1 61
0 2 3 4
1 4 1 45
0 3 4 64
1 2 5 54
4 1 1 67
0 2 4 49
1 1 2 55
2 2 4 91
0 5 1 85
4 5 1 25
1 4 3 8
0 2 4 44
2 3 3 32
1 5 2 45
0 6 1 59
2 2 4 1
4 1 6 64
4 6 1 77
2 5 2 72
0 2 1 77
3 1 2 63
4 6 1 80
2 6 1 30
1 4 2 53
1 6 1 19
2 6 1 7
3 3 3 59
0 1 1 61
1 2 4 86
3 6 1 30
0 6 1 21
0 4 1 53
0 5 2 2
3 4 2 5
2 6 1 77
3 5 2 57
1 6 1 51
3 4 3 51
0 5 1 7
2 4 3 88
4 4 2 67
3 6 1 74
3 5 1 62
4 6 1 12
0 1 5 81
3 1 6 12
4 1 1 28
4 3 2 19
4 3 2 92
3 6 1 94
4 4 2 27
1 1 5 58
0 6 1 81
4 4 2 80
3 4 3 56
2 5 1 64
3 1 5 24
3 5 2 29
1 1 2 47
2 3 4 99
1 6 1 45
3 3 2 87
4 1 5 7
1 1 6 37
2 5 1 63
1 3 1 20
3 4 3 6
2 4 2 99
2 3 3 16
1 3 3 21
3 3 1 70
2 4 1 57
0 5 2 78
2 1 1 58
2 3 3 76
0 6 1 71
3 3 2 66
2 6 1 74
0 6 1 96
4 2 5 25
1 1 2 68
0 2 4 35
0 4 3 22
2 4 2 46
