8 140 26
4 4 1 47
3 1 2 75
4 6 3 17
0 4 2 28
1 1 3 18
0 7 2 40
2 4 1 40
2 1 1 91
4 3 6 31
4 5 2 34
2 4 5 21
4 2 6 11
1 3 4 91
3 3 4 65
4 5 3 1
1 5 3 2
2 8 1 89
3 7 2 32
1 8 1 75
1 4 5 94
2 2 7 9
4 3 5 51
1 4 2 7
4 7 1 38
4 2 4 83
4 6 2 58
3 1 6 54
1 5 3 79
3 7 1 32
4 8 1 58
3 8 1 67
3 6 2 100
0 1 1 75
0 2 3 18
2 7 1 98
1 2 1 69
2 8 1 13
3 3 6 34
1 8 1 8
2 2 7 50
0 5 1 88
4 4 4 90
1 3 5 40
2 5 2 16
2 7 1 99
1 3 5 71
0 7 1 90
2 3 6 42
3 7 2 75
0 2 2 77
4 4 3 55
1 5 1 68
1 3 2 78
1 8 1 82
0 2 2 69
0 2 3 63
4 5 3 23
0 6 1 4
4 2 5 11
3 2 6 62
3 5 3 46
1 3 3 6
4 3 4 42
3 6 3 89
2 1 4 64
1 7 2 97
4 5 2 76
2 5 4 41
4 3 2 56
2 3 6 31
3 1 8 4
0 7 2 25
2 3 1 74
2 6 3 54
1 6 1 86
1 4 1 9
3 7 1 14
2 8 1 94
1 4 2 63
3 5 4 30
1 1 6 85
0 1 5 10
2 4 3 94
3 1 3 31
3 8 1 95
4 2 1 6
4 4 2 31
3 1 3 92
1 5 1 38
2 2 1 66
0 7 2 7
0 4 3 9
3 7 2 92
3 2 6 99
1 2 7 81
1 2 4 19
0 6 2 88
0 8 1 88
3 7 1 89
0 3 4 45
3 2 3 50
2 6 1 41
0 5 1 32
0 8 1 76
2 4 1 59
3 4 1 54
2 5 3 49
4 8 1 78
0 3 2 90
3 1 1 68
1 5 3 72
4 3 2 65
0 8 1 16
1 5 4 7
4 7 2 82
2 2 5 41
3 1 5 3
3 8 1 65
0 3 5 66
3 4 1 88
2 8 1 73
4 2 2 32
4 7 2 80
0 1 2 20
3 5 1 90
4 4 2 35
0 5 3 44
2 2 3 45
1 6 1 28
2 6 2 71
0 5 4 79
4 5 1 29
4 5 1 41
0 6 1 14
2 5 3 48
3 5 2 22
2 2 3 97
2 6 1 6
2 7 1 36
1 7 1 20
