4 87 4
2 2 1 49
4 3 1 73
2 2 1 40
4 2 2 65
4 3 2 93
1 3 2 81
1 1 4 20
2 1 1 47
1 1 3 31
3 3 2 78
1 4 1 67
4 3 1 9
3 4 1 88
3 2 1 71
4 1 3 15
3 1 4 95
2 1 2 86
2 4 1 33
2 4 1 22
1 2 3 14
1 3 2 79
3 2 3 55
3 4 1 67
2 2 1 97
3 2 1 99
4 3 2 85
1 1 3 91
3 1 2 16
1 3 2 60
2 3 2 99
1 3 1 20
1 4 1 76
1 1 1 100
4 3 1 10
3 2 1 57
4 3 1 84
1 4 1 35
0 1 2 5
0 3 2 31
4 4 1 20
1 1 2 51
4 4 1 41
1 2 2 16
3 1 3 72
1 3 1 74
1 1 4 84
1 1 4 91
1 1 3 13
0 2 2 63
0 2 1 100
1 2 2 76
4 4 1 26
3 3 1 91
4 2 1 29
2 4 1 48
2 3 1 24
1 4 1 33
4 1 1 77
1 4 1 86
1 1 1 86
2 4 1 57
1 4 1 34
3 1 2 6
0 3 2 16
0 4 1 31
0 2 2 60
1 3 2 25
3 3 2 42
2 2 3 28
3 4 1 17
0 2 3 74
0 3 1 41
3 1 1 27
2 4 1 79
4 3 2 9
4 3 1 12
1 1 1 44
4 4 1 13
2 1 1 82
3 1 1 91
4 3 2 100
3 4 1 68
2 4 1 34
1 3 1 59
0 2 3 18
4 2 2 23
1 1 2 84
