8 300 40
3 6 2 5
2 8 1 14
3 6 3 57
2 8 1 75
1 3 5 85
3 8 1 96
2 2 2 23
3 4 4 72
1 1 8 83
2 2 4 41
2 4 1 23
2 7 1 25
4 8 1 31
4 7 2 79
1 2 7 40
4 1 8 25
1 7 2 44
4 7 2 20
1 5 3 64
1 1 4 25
1 8 1 72
1 2 4 25
2 5 4 25
0 8 1 41
4 1 5 9
0 8 1 98
1 2 5 8
0 7 2 29
0 3 3 28
1 1 2 39
1 3 1 33
4 3 6 61
0 6 3 69
1 4 3 79
2 1 4 8
2 7 2 20
1 2 6 39
3 2 1 100
4 5 3 92
2 2 4 51
1 6 3 48
3 3 4 92
1 5 3 67
3 3 6 50
3 4 1 94
3 7 1 48
1 1 4 23
3 3 4 1
2 2 1 46
0 6 1 88
1 3 6 33
0 2 6 72
0 1 5 8
0 7 1 59
3 1 2 93
1 8 1 47
1 1 4 40
2 3 2 87
3 4 2 62
2 5 1 41
3 1 1 13
4 2 6 22
2 4 4 30
3 8 1 7
4 3 1 16
2 4 3 69
0 1 6 95
0 3 1 33
3 5 3 22
4 1 4 28
4 3 3 14
0 4 1 67
0 8 1 89
2 8 1 70
1 1 1 27
4 4 2 96
3 4 5 93
4 3 2 65
3 5 1 97
3 2 3 82
2 8 1 88
1 8 1 39
1 5 2 70
0 8 1 67
1 6 3 100
0 8 1 45
1 2 6 96
4 4 1 40
2 4 5 70
3 2 7 7
4 3 6 44
4 7 1 33
3 3 3 83
2 8 1 93
4 2 5 26
1 1 2 61
0 3 4 92
4 8 1 6
4 5 4 10
2 2 2 98
4 4 1 32
4 3 5 16
4 5 3 79
2 2 6 58
1 6 2 77
2 1 6 41
4 2 1 31
0 8 1 98
1 8 1 29
0 2 6 62
3 4 5 80
2 5 2 98
4 3 2 34
1 6 2 67
2 2 4 87
1 1 6 33
1 7 1 57
4 4 3 39
4 6 1 12
0 4 5 53
4 4 3 57
3 6 3 72
2 6 3 26
2 6 2 28
1 1 1 76
4 2 5 28
3 3 3 55
2 6 1 23
0 8 1 84
3 8 1 32
3 5 1 77
1 5 3 82
2 7 1 46
0 2 1 20
2 3 4 21
3 4 3 25
2 7 1 14
1 7 2 71
1 7 1 79
4 8 1 32
0 8 1 60
1 6 1 43
0 7 2 83
4 4 4 62
3 2 6 64
1 8 1 98
4 4 2 52
2 7 2 28
2 4 2 89
4 5 4 65
0 6 1 15
1 8 1 58
3 7 1 96
0 5 3 20
2 5 2 28
2 8 1 4
3 3 5 65
2 7 1 35
1 8 1 7
1 7 2 94
0 8 1 20
3 5 2 41
0 1 3 12
2 5 2 91
1 6 2 1
4 5 3 36
0 6 1 43
2 1 1 84
0 5 4 7
2 8 1 18
4 8 1 71
2 5 4 85
1 4 3 19
4 6 1 16
3 6 1 61
0 7 1 54
3 4 3 37
0 6 1 94
0 2 7 37
2 8 1 75
1 5 1 69
2 2 3 43
1 2 1 3
2 8 1 71
0 7 2 11
3 8 1 85
3 8 1 7
0 6 3 40
0 1 1 91
3 1 3 6
3 2 7 68
3 4 2 92
4 5 1 88
2 5 3 35
3 8 1 51
1 8 1 84
1 1 7 47
1 3 4 56
0 4 2 92
3 3 4 15
3 6 2 8
0 5 1 96
2 4 3 19
1 5 3 71
1 4 3 75
3 1 6 77
1 2 6 4
0 6 1 94
4 3 5 31
2 8 1 41
4 4 3 38
0 5 3 38
2 2 6 78
3 2 2 41
0 3 2 42
3 4 2 25
1 2 4 38
1 7 1 13
3 6 2 69
2 1 4 71
4 3 3 52
2 7 2 25
0 7 2 97
3 5 2 34
1 5 2 16
2 1 4 64
0 4 3 58
4 8 1 64
3 8 1 17
4 6 2 88
4 6 3 58
2 1 7 99
1 4 5 61
2 6 3 55
4 5 3 95
3 2 5 33
4 8 1 78
0 1 3 34
4 1 8 14
0 1 1 83
0 5 2 13
2 6 2 68
0 1 1 35
3 7 1 56
3 3 5 54
1 7 1 91
0 7 2 34
1 4 2 18
3 2 4 29
1 2 2 61
0 1 8 59
2 7 2 15
1 1 1 17
2 8 1 68
4 8 1 29
0 2 3 72
2 2 1 71
0 1 6 78
3 4 2 17
3 3 3 89
0 3 1 4
1 5 2 88
1 4 5 99
2 3 2 10
1 5 1 66
3 3 1 13
4 2 1 79
1 2 5 42
4 8 1 41
1 4 1 63
2 4 4 25
3 8 1 91
0 4 4 35
0 1 2 16
0 3 1 80
3 4 5 75
2 8 1 50
4 8 1 1
1 7 2 62
4 8 1 59
1 5 1 83
3 1 4 82
0 8 1 49
0 2 1 63
0 3 1 86
1 6 3 23
2 5 1 82
4 3 4 58
0 2 7 83
3 5 3 27
3 8 1 12
4 2 7 66
3 2 6 6
1 7 1 95
3 7 1 33
3 1 5 93
1 3 4 22
2 4 4 40
3 3 1 19
0 6 3 84
