6 293 16
1 3 1 31
3 2 4 96
0 4 1 75
3 6 1 12
2 1 6 39
2 5 1 95
4 3 4 54
4 2 5 69
0 3 1 22
1 1 6 37
4 3 1 35
3 6 1 12
2 3 2 36
4 4 3 73
0 5 1 67
4 3 1 3
4 6 1 49
0 4 2 45
2 4 1 98
2 4 1 67
0 6 1 12
4 2 3 15
4 5 2 68
1 1 2 15
4 1 2 82
3 4 3 5
3 6 1 20
3 2 4 25
3 6 1 47
0 3 4 8
1 3 1 32
4 4 2 87
3 2 1 91
4 1 5 80
1 4 2 50
4 6 1 90
3 3 2 53
4 2 5 48
4 4 2 91
3 1 1 46
2 1 4 91
0 5 1 13
2 1 3 83
4 2 3 39
0 1 1 35
4 2 3 96
1 1 5 81
2 6 1 32
3 3 1 46
2 5 1 3
2 3 3 35
0 6 1 99
0 3 2 24
4 1 1 86
3 4 2 19
1 3 4 10
0 5 2 60
3 3 1 55
4 2 3 94
4 2 5 18
0 6 1 4
2 1 4 84
0 1 6 52
4 1 4 71
2 5 1 58
2 5 1 91
3 4 3 52
2 4 3 32
2 4 2 43
0 5 1 98
3 1 1 92
0 1 3 55
0 3 2 75
2 3 2 61
0 6 1 38
2 3 2 30
0 6 1 42
0 6 1 50
0 2 2 91
0 2 3 34
4 6 1 31
0 1 5 92
2 5 2 35
4 2 4 3
3 1 6 88
0 6 1 66
1 3 1 6
2 6 1 93
3 5 1 87
4 3 4 85
0 1 2 20
0 3 1 59
1 3 1 93
1 4 3 77
0 1 2 68
1 3 3 35
1 6 1 90
1 4 3 82
1 5 2 31
1 6 1 15
1 2 5 97
2 2 4 35
1 6 1 93
3 5 1 20
3 1 5 68
1 2 1 1
1 3 1 26
3 6 1 53
2 3 2 5
1 6 1 33
1 6 1 45
1 3 4 56
4 2 4 81
0 4 3 77
1 5 1 100
0 2 3 95
4 4 1 92
1 5 2 17
2 2 1 69
4 6 1 20
0 5 2 53
4 1 4 67
4 6 1 25
4 6 1 77
3 1 2 10
4 4 2 85
2 1 4 80
2 4 2 54
3 4 2 37
2 3 4 89
2 3 1 94
3 4 3 49
0 4 2 63
2 4 2 89
2 5 2 6
0 4 1 56
2 1 1 92
4 4 1 13
0 3 1 17
4 5 1 85
2 3 3 100
2 5 2 43
1 6 1 76
3 1 5 10
2 3 4 90
1 5 1 46
4 6 1 29
4 4 3 72
0 4 2 12
3 3 3 9
3 5 2 4
0 3 2 54
1 3 2 32
3 6 1 61
3 6 1 87
4 5 2 54
4 6 1 71
3 2 5 62
1 5 1 8
0 2 5 46
3 5 2 36
0 4 2 36
4 5 2 96
4 4 2 11
4 3 3 93
2 1 1 94
3 6 1 79
0 6 1 65
3 2 2 80
3 4 1 37
1 6 1 17
1 2 4 32
0 2 2 11
3 1 4 66
3 4 3 86
4 2 1 68
1 6 1 28
0 3 2 15
4 4 3 25
3 6 1 52
2 1 2 87
2 6 1 28
4 4 1 47
4 3 4 5
1 3 3 66
4 4 1 39
1 3 2 16
4 6 1 95
3 2 2 80
0 6 1 38
2 4 2 24
0 1 6 18
1 6 1 36
2 4 1 99
1 2 5 91
3 4 2 14
2 1 3 27
3 6 1 100
4 6 1 28
1 3 1 42
4 4 1 21
3 2 3 41
3 3 1 81
3 5 2 3
4 6 1 21
0 5 1 88
3 6 1 40
0 4 2 65
3 3 3 81
2 2 3 36
2 2 2 30
3 6 1 28
3 3 4 59
1 1 4 68
2 4 3 91
1 6 1 100
3 1 5 44
4 4 3 69
1 6 1 86
2 1 3 32
1 1 5 88
0 3 3 19
0 6 1 76
3 3 3 86
4 3 1 67
2 1 4 70
3 6 1 50
2 4 3 20
1 6 1 77
1 3 2 5
2 1 2 86
0 5 1 59
4 2 4 57
1 3 1 89
3 3 4 76
1 6 1 74
3 1 2 12
2 5 1 83
0 6 1 10
1 1 2 79
3 6 1 10
4 1 6 69
3 3 4 78
4 2 2 12
0 5 2 39
0 2 1 55
1 1 2 98
4 6 1 47
0 1 4 87
4 4 2 55
2 6 1 56
3 6 1 98
2 6 1 1
4 5 1 7
2 6 1 1
3 6 1 97
0 4 1 67
4 2 4 85
4 2 4 52
1 6 1 58
2 4 1 19
4 6 1 79
4 4 2 7
0 6 1 63
0 4 2 30
3 5 2 58
4 2 5 44
3 1 1 98
4 1 5 91
4 3 3 33
0 1 2 20
4 6 1 73
4 3 3 100
1 6 1 42
0 3 1 27
1 4 2 1
3 2 1 31
2 2 2 27
0 6 1 45
4 6 1 41
4 1 3 97
1 1 6 53
3 3 4 89
2 1 4 91
2 4 1 90
4 3 2 28
2 2 4 9
4 4 2 89
3 1 6 62
0 4 1 92
4 5 1 31
4 4 2 84
0 2 4 61
