5 223 9
0 4 2 70
2 3 2 35
3 2 4 64
2 2 2 14
1 3 3 22
0 5 1 71
1 5 1 76
4 1 2 99
3 3 1 20
4 3 3 91
0 4 1 58
0 2 3 17
1 3 2 75
4 3 1 60
3 2 3 41
4 2 4 42
0 2 2 28
1 3 3 52
4 5 1 62
2 2 1 79
2 3 2 31
2 2 4 19
0 1 3 45
2 5 1 11
0 1 5 20
1 1 2 63
4 1 2 90
3 3 1 28
3 3 3 83
1 1 5 55
4 1 3 17
4 2 2 96
1 3 1 96
0 2 2 10
4 2 2 9
3 2 4 56
0 3 3 58
4 5 1 29
0 1 2 35
3 1 2 36
4 3 3 62
0 1 3 32
4 3 3 67
0 2 2 84
0 2 4 60
4 1 2 74
3 3 3 25
2 2 2 56
1 3 2 20
1 2 4 13
0 2 4 93
0 2 1 19
0 1 4 34
1 2 2 91
0 5 1 51
3 1 5 86
4 2 4 29
1 1 5 73
3 1 1 86
0 4 1 29
2 5 1 82
1 1 4 47
4 5 1 55
0 2 2 56
0 4 1 97
2 1 5 69
3 2 3 38
1 1 1 11
0 3 1 18
2 4 2 99
3 2 1 59
3 1 3 65
2 4 1 53
0 3 3 64
4 2 1 5
3 2 1 91
1 2 4 65
0 2 2 89
0 2 1 98
2 3 1 98
1 4 2 68
1 4 1 58
4 2 3 52
1 5 1 15
1 2 2 92
4 2 3 31
4 4 1 16
4 4 2 97
3 3 3 74
0 1 3 39
1 5 1 14
2 5 1 31
3 3 1 97
4 3 2 76
4 3 2 5
3 3 2 76
4 3 1 51
3 5 1 40
4 2 1 55
1 4 1 49
0 5 1 94
4 3 1 16
4 3 3 50
2 4 1 50
4 5 1 59
2 1 4 20
0 1 1 59
3 5 1 3
4 3 2 70
1 4 2 40
3 1 3 90
3 4 1 64
3 5 1 19
1 1 4 19
1 1 5 19
4 4 1 40
3 5 1 66
3 1 4 51
2 4 1 17
3 1 1 72
0 2 2 58
4 3 1 50
1 1 3 82
0 1 4 4
2 2 3 16
3 5 1 73
3 2 4 60
0 2 2 60
1 4 1 64
0 5 1 31
0 5 1 72
1 2 3 8
0 4 1 86
3 4 1 46
2 5 1 21
3 2 4 43
3 2 1 90
0 3 1 20
2 4 2 33
3 5 1 82
3 1 2 39
3 2 3 70
1 1 2 26
4 3 2 29
4 1 2 15
1 3 1 56
2 1 1 2
0 1 3 68
1 3 2 64
3 1 3 42
1 4 1 35
0 4 1 83
2 5 1 43
3 5 1 8
4 4 2 53
1 4 1 2
4 5 1 39
4 4 1 53
1 3 2 10
3 1 5 40
0 4 1 2
3 2 2 55
3 1 1 24
4 4 1 86
4 4 1 46
1 4 2 80
1 5 1 85
3 3 2 8
3 2 3 56
1 1 4 29
0 4 2 27
0 1 5 46
4 1 1 84
1 1 4 21
1 2 4 99
3 1 2 59
2 3 2 30
3 4 2 86
4 2 2 52
0 5 1 89
4 5 1 94
2 4 1 70
3 4 1 56
2 3 1 42
4 3 1 3
4 2 3 26
2 4 1 21
0 5 1 63
0 5 1 79
1 5 1 66
1 3 1 96
1 4 1 56
4 3 1 88
4 4 1 86
4 2 1 85
0 5 1 37
1 1 2 58
2 2 4 17
4 2 1 80
1 3 3 89
1 5 1 35
2 1 2 69
2 5 1 13
1 4 2 21
1 3 3 90
1 1 5 40
1 3 3 19
1 3 1 69
0 5 1 14
4 2 3 51
4 1 3 27
3 1 3 9
2 3 1 44
0 5 1 74
3 4 1 69
4 1 5 17
3 5 1 48
3 5 1 36
1 4 2 33
0 2 3 1
0 1 2 74
3 1 4 23
4 3 3 83
