5 277 11
0 4 1 91
2 3 1 61
1 1 1 79
3 1 4 29
1 4 2 55
1 1 5 67
0 4 2 71
0 3 2 88
1 2 1 32
3 4 2 30
2 3 3 56
4 1 1 80
2 2 1 36
3 4 1 48
1 3 1 16
4 1 3 80
1 4 2 86
2 3 2 43
4 4 1 39
2 1 4 20
4 2 4 31
1 1 4 39
2 3 1 71
4 4 1 28
0 1 2 1
3 4 2 66
1 2 1 62
4 2 1 25
0 5 1 10
1 3 3 30
0 1 2 63
0 4 2 22
4 1 5 38
3 5 1 10
2 5 1 43
2 4 2 47
1 1 2 28
0 4 2 71
2 5 1 61
0 3 3 77
1 4 2 16
3 3 2 100
1 1 1 1
4 2 2 95
1 2 3 54
0 1 4 57
4 3 3 31
3 1 1 77
1 5 1 59
0 3 2 82
1 3 2 100
3 5 1 32
2 1 5 45
3 3 1 28
3 4 1 51
3 1 2 71
1 2 2 7
0 4 1 42
3 4 1 45
4 5 1 50
4 3 2 46
1 4 1 93
3 4 2 76
4 1 3 14
0 5 1 20
4 3 2 15
1 3 1 47
4 3 1 14
4 1 5 64
0 1 4 62
2 2 3 7
2 1 4 22
3 1 3 79
1 5 1 98
0 2 1 38
0 1 4 98
1 4 2 72
3 4 1 41
3 2 4 23
1 5 1 99
3 4 1 79
3 3 3 57
1 3 1 62
2 2 2 8
4 4 2 12
1 3 1 41
3 3 1 79
4 5 1 38
1 5 1 40
0 5 1 62
2 4 1 11
1 5 1 48
1 4 2 14
4 3 3 51
1 4 2 14
0 1 2 42
4 1 2 23
2 4 2 20
4 1 1 18
3 5 1 48
0 5 1 9
4 4 2 58
2 2 3 65
0 2 4 23
3 3 1 78
1 3 1 24
4 5 1 74
0 5 1 62
4 2 1 70
0 3 1 34
4 4 1 66
4 5 1 77
1 5 1 27
0 2 3 12
2 1 1 23
3 3 2 97
2 5 1 63
3 1 5 27
0 3 1 84
4 1 4 8
2 2 4 89
3 3 2 18
4 1 2 62
1 4 1 61
1 3 2 54
4 3 2 13
4 5 1 55
3 4 2 61
4 3 2 53
3 5 1 33
3 2 2 78
2 3 2 34
2 4 1 94
2 4 2 89
0 2 2 11
1 1 1 7
2 4 2 82
1 4 2 98
1 2 1 67
2 3 2 13
0 5 1 3
3 1 5 26
4 5 1 45
1 4 2 23
2 5 1 60
4 1 2 7
1 2 4 85
0 5 1 97
4 4 1 2
1 1 1 72
0 2 4 64
0 1 4 11
3 4 1 7
0 3 1 46
0 2 2 65
3 5 1 70
2 4 1 2
0 5 1 64
4 1 3 32
0 4 1 49
4 2 2 87
3 5 1 42
2 2 3 9
0 3 3 52
1 3 3 39
2 2 2 5
1 3 2 13
1 3 2 20
2 1 2 9
0 5 1 92
0 4 1 11
2 1 1 40
4 3 2 93
2 4 1 7
2 4 2 76
0 4 2 72
3 3 2 32
3 3 3 6
1 3 3 63
1 1 1 33
1 2 3 65
2 2 4 22
2 2 1 32
4 3 1 70
0 3 3 16
0 3 1 26
1 5 1 23
0 4 2 47
3 1 5 46
0 5 1 26
0 1 2 97
1 3 3 13
2 2 4 58
4 3 2 87
4 4 2 57
3 2 4 39
1 2 4 68
0 2 4 16
0 1 1 63
2 3 1 1
2 4 2 88
2 4 1 6
3 2 1 40
1 1 1 87
4 3 3 19
2 4 2 23
3 2 3 23
3 1 2 10
4 2 3 4
1 3 3 13
3 5 1 32
0 2 4 49
4 4 2 4
3 2 4 71
4 3 3 8
0 1 2 65
3 5 1 46
3 4 1 38
3 5 1 90
3 4 2 76
2 2 1 46
2 4 1 65
2 3 1 26
4 4 1 37
2 3 2 32
3 3 3 64
4 3 3 57
0 2 2 25
2 5 1 81
1 1 5 60
3 4 1 29
2 4 1 30
4 3 2 76
4 4 2 64
3 5 1 49
1 5 1 51
1 2 3 41
0 2 1 100
2 2 3 90
0 1 3 40
4 1 5 45
4 5 1 96
4 5 1 54
2 5 1 34
2 2 4 51
2 2 4 65
0 1 2 44
1 2 3 39
3 4 1 75
0 5 1 66
1 4 2 64
4 3 2 54
0 3 3 1
3 3 2 59
2 5 1 35
1 5 1 24
3 1 5 38
2 1 2 25
4 1 2 92
0 3 2 31
1 3 3 74
2 3 2 71
2 2 1 28
2 3 3 2
2 4 1 79
1 5 1 66
1 4 1 69
1 5 1 86
2 2 4 55
0 3 3 40
3 3 1 73
3 4 1 62
3 5 1 37
4 5 1 75
3 3 1 20
0 1 5 6
1 3 2 54
