8 245 12
2 8 1 31
0 8 1 24
0 5 4 55
4 4 5 51
1 3 4 64
1 7 1 99
3 6 2 17
4 6 3 47
2 4 1 97
2 6 3 10
0 2 6 2
2 4 3 45
1 4 4 5
2 5 2 79
4 8 1 10
2 7 1 43
4 2 7 48
0 5 1 89
4 8 1 10
4 6 1 11
0 6 1 70
2 6 3 1
3 3 2 69
1 1 1 48
1 1 3 96
3 6 2 22
0 7 1 100
0 1 1 67
4 2 3 21
1 7 1 12
1 7 2 65
1 5 2 55
3 1 1 9
4 8 1 76
0 8 1 74
4 5 3 92
1 7 2 57
1 1 8 64
2 4 5 99
0 2 5 46
1 3 6 96
0 3 2 98
1 2 4 74
1 3 5 82
3 5 1 99
2 5 1 38
0 2 3 21
2 8 1 71
4 6 1 100
2 8 1 19
3 5 2 76
3 1 6 69
3 5 2 57
2 2 3 21
2 2 4 97
0 7 2 17
1 2 2 45
4 5 4 52
1 1 2 42
1 1 6 34
3 5 4 97
2 1 4 81
2 3 3 87
4 8 1 32
1 7 2 48
2 4 3 7
4 7 2 66
4 3 1 72
0 7 2 98
1 8 1 50
1 5 4 61
2 2 2 73
2 6 3 20
2 4 3 98
2 6 3 27
3 5 4 67
2 2 2 92
0 1 3 72
1 1 8 5
1 5 3 59
4 5 4 81
1 6 1 56
4 6 1 33
1 1 2 100
0 7 2 88
4 3 4 100
1 5 4 14
3 1 2 78
0 6 3 47
4 8 1 26
0 7 2 17
4 6 2 61
0 4 5 41
3 6 1 57
4 3 1 32
0 7 1 66
3 1 4 98
2 4 4 26
0 2 7 74
2 4 3 32
3 3 4 23
0 3 1 3
0 2 1 19
3 6 2 32
1 4 5 75
1 2 1 66
2 6 3 100
0 4 2 25
0 3 4 82
2 1 2 31
1 3 2 92
4 6 3 99
2 1 5 45
0 8 1 61
4 3 3 39
2 4 2 34
2 5 2 27
3 8 1 76
3 5 3 82
1 7 1 35
1 7 2 40
3 8 1 40
0 1 2 28
4 6 1 13
0 7 1 1
2 8 1 18
0 8 1 29
1 2 7 12
1 6 3 17
0 1 6 65
3 1 7 33
1 2 3 73
0 3 2 96
3 2 5 57
4 4 2 61
2 6 1 27
4 7 1 30
3 3 4 15
2 1 8 92
3 6 2 26
1 1 5 60
1 4 5 5
4 1 8 59
2 3 6 90
0 1 6 1
3 6 3 26
4 3 2 9
4 4 3 16
1 7 2 94
0 8 1 55
2 8 1 74
3 1 4 59
0 4 5 6
0 3 2 66
0 7 1 74
2 3 6 32
4 7 2 77
4 6 1 54
0 8 1 54
4 1 5 54
3 8 1 55
2 1 1 16
0 3 4 97
0 3 4 69
0 8 1 1
0 4 2 34
2 1 7 3
2 2 5 69
2 5 4 22
0 8 1 47
3 1 4 17
4 5 2 79
1 2 4 6
3 4 3 80
0 4 5 74
2 4 1 78
4 4 2 10
4 1 2 7
4 8 1 98
3 7 1 31
1 5 2 21
4 5 3 71
3 7 1 34
1 7 1 92
2 4 5 15
1 2 7 40
2 1 1 33
0 3 5 71
2 2 7 25
1 8 1 87
2 4 1 59
2 4 1 100
3 6 1 30
3 5 4 91
1 2 4 17
1 1 3 53
2 8 1 34
0 3 2 60
0 3 2 22
3 2 7 76
0 8 1 41
2 1 8 3
4 5 3 42
0 7 1 32
0 7 1 12
2 8 1 79
0 2 4 37
1 1 6 10
3 4 2 50
0 7 1 80
1 1 1 40
0 7 1 41
4 7 2 80
0 6 3 70
3 3 6 26
1 1 5 9
2 1 6 65
3 5 2 74
2 7 2 76
2 8 1 67
0 1 8 57
0 5 2 35
4 5 3 60
0 3 6 93
3 7 1 64
3 5 3 90
4 5 3 68
0 2 7 42
1 4 5 51
2 6 1 14
1 8 1 12
4 6 2 83
1 7 2 65
1 7 2 59
0 5 3 46
4 6 3 86
4 8 1 58
0 8 1 77
4 4 5 72
0 2 5 6
0 7 1 47
0 1 8 1
2 6 3 2
1 2 7 63
4 5 2 43
