5 64 3
0 2 1 26
1 1 4 75
0 3 3 31
0 4 2 77
1 5 1 78
3 3 2 90
4 1 5 100
1 3 1 5
0 4 1 85
4 1 3 21
0 5 1 54
0 2 3 5
3 4 1 25
1 4 2 68
0 4 1 82
3 3 3 1
1 3 2 19
0 5 1 79
0 1 5 84
1 5 1 68
0 3 1 99
2 2 1 10
3 4 1 80
1 2 2 52
0 3 2 96
3 5 1 88
1 4 2 41
2 3 3 55
4 1 2 4
3 4 2 78
0 2 2 41
3 4 2 10
0 3 2 13
1 3 3 76
2 5 1 50
1 2 3 53
1 5 1 64
1 5 1 6
4 2 2 65
0 1 2 35
4 4 2 89
0 5 1 83
4 2 4 57
2 3 3 2
2 3 3 99
3 5 1 85
2 1 1 36
0 5 1 4
1 2 3 64
0 4 1 94
0 4 2 28
2 1 3 70
1 3 3 62
4 3 1 67
2 5 1 87
4 5 1 68
1 3 3 86
4 4 2 72
4 1 3 79
1 1 5 30
3 4 2 48
4 4 2 80
1 4 1 16
4 1 4 15
