8 300 40
2 2 4 47
3 1 1 58
4 5 1 80
0 6 3 61
2 6 2 59
3 7 2 36
3 3 3 7
0 2 5 75
1 7 2 80
3 3 5 70
1 1 6 55
4 8 1 53
1 5 3 86
0 6 3 31
2 7 2 65
2 1 2 67
1 6 2 85
4 7 2 67
4 6 1 60
1 4 4 23
1 4 2 46
0 6 1 86
0 5 1 40
2 1 3 91
0 6 1 44
1 4 5 37
3 5 3 26
0 1 8 91
0 5 1 24
4 7 1 11
1 4 3 41
3 3 4 17
4 8 1 64
3 2 5 100
3 4 5 22
4 8 1 79
4 7 2 18
0 2 2 96
2 5 4 79
1 6 2 88
3 2 5 58
2 1 8 32
4 5 1 34
4 7 2 33
4 2 1 26
3 6 2 16
0 6 3 19
1 2 4 17
0 6 2 48
4 1 8 26
1 7 1 64
3 8 1 88
2 7 2 75
2 3 6 64
0 1 3 7
0 8 1 87
4 3 5 72
0 3 1 45
3 3 4 43
4 2 6 60
4 4 3 94
4 2 1 9
4 5 2 65
1 7 1 57
4 2 5 13
4 6 3 81
1 8 1 64
4 5 4 58
3 3 1 86
2 1 7 60
3 2 7 64
0 7 2 26
4 1 8 91
2 2 4 63
2 5 4 81
4 2 3 97
3 4 4 91
4 2 4 52
2 1 5 64
3 8 1 95
3 2 2 23
4 8 1 85
3 5 3 84
0 8 1 5
2 5 1 85
1 4 1 66
2 1 2 46
4 2 2 70
3 4 3 72
1 7 1 45
2 5 1 84
1 7 2 54
1 8 1 72
1 8 1 64
2 2 5 24
1 6 1 2
2 8 1 46
1 7 2 43
0 7 1 22
2 7 2 93
3 4 4 93
4 4 5 28
3 4 3 56
3 3 2 95
3 4 1 9
2 8 1 53
1 2 4 8
4 1 1 32
4 1 6 31
3 2 6 5
1 8 1 94
4 1 1 13
4 2 7 38
4 3 1 77
0 6 1 60
4 4 3 13
0 8 1 26
1 1 4 36
2 4 3 76
1 1 2 77
2 1 1 76
0 6 3 58
0 3 6 21
1 8 1 40
0 7 2 26
2 2 2 99
2 3 5 72
3 1 5 62
1 2 4 19
3 3 1 12
2 2 4 24
2 5 4 27
0 8 1 88
1 3 3 60
3 2 6 93
0 3 2 72
0 3 5 39
1 2 7 64
0 2 1 7
2 4 2 72
1 3 2 51
4 6 1 42
4 2 5 99
3 6 2 11
0 6 1 13
3 1 5 20
3 3 3 52
3 4 4 30
2 6 1 95
3 2 6 18
4 4 1 99
2 3 6 72
0 2 5 15
2 2 7 70
1 6 2 2
3 5 3 49
0 3 3 65
3 8 1 30
4 7 1 3
3 1 5 34
4 8 1 87
0 4 5 62
0 1 3 58
2 7 1 10
1 1 5 87
4 7 2 40
2 4 3 93
1 8 1 81
0 6 2 53
0 7 2 54
4 6 3 90
0 3 1 16
1 8 1 15
2 6 3 3
4 1 2 65
4 8 1 22
4 6 1 67
4 4 1 68
0 4 5 48
3 7 2 35
4 1 3 17
4 8 1 44
2 8 1 33
1 1 2 55
0 7 2 75
3 2 4 91
3 4 1 95
3 5 4 63
2 2 4 11
3 2 3 37
4 8 1 63
4 4 2 10
1 2 1 28
0 1 3 35
2 4 4 64
0 5 3 61
4 5 2 7
3 6 1 40
2 1 6 98
0 8 1 54
4 5 3 51
2 1 1 60
0 6 2 33
4 5 1 15
2 2 5 64
3 3 2 100
0 4 2 62
4 5 1 72
4 2 7 26
3 2 4 87
2 2 1 56
1 7 1 19
1 7 2 82
3 1 5 57
4 8 1 16
0 4 5 30
3 8 1 47
3 5 2 67
3 6 1 76
2 2 2 33
4 6 2 85
1 8 1 84
1 5 4 23
1 3 5 66
2 8 1 93
0 1 6 40
1 4 1 98
3 7 2 95
4 6 2 58
2 1 4 52
4 3 3 63
0 4 1 59
4 8 1 68
0 7 1 19
0 3 4 73
4 4 4 79
3 7 1 96
2 3 2 13
3 3 3 28
4 7 2 70
3 2 7 29
0 5 3 67
1 3 1 12
2 3 5 36
1 2 4 99
2 6 3 15
0 3 3 98
4 2 4 22
0 5 4 71
1 5 4 84
0 4 1 86
3 3 5 62
4 5 3 44
2 2 1 27
2 5 3 74
2 7 2 86
2 2 4 66
3 6 1 50
4 7 1 52
0 5 2 70
4 2 3 53
1 8 1 44
0 1 3 43
1 5 1 49
4 7 2 62
4 8 1 41
2 3 5 72
1 7 1 71
2 1 5 88
3 7 2 26
2 5 3 1
0 4 3 48
2 6 2 20
4 4 4 66
2 8 1 56
4 3 2 17
0 8 1 29
1 7 1 29
4 3 3 5
4 4 2 73
0 6 2 87
1 8 1 76
4 7 2 87
4 8 1 100
1 1 8 54
0 8 1 62
2 2 3 70
2 6 3 39
2 8 1 23
4 6 3 87
0 6 2 10
1 6 3 1
1 3 6 57
3 3 2 8
1 3 6 4
0 1 1 42
1 2 5 8
0 6 1 56
4 7 2 43
0 6 3 26
