5 145 9
0 2 3 33
0 3 2 23
4 2 4 56
0 2 1 82
1 4 1 93
2 3 3 25
0 3 3 27
3 5 1 13
4 5 1 57
4 2 3 79
0 4 1 96
1 1 4 11
2 3 2 64
1 5 1 80
1 3 2 87
3 3 3 74
1 3 2 5
0 3 1 49
0 5 1 23
1 2 3 100
1 4 2 55
1 4 2 38
3 2 1 61
2 2 4 62
4 4 2 71
0 3 1 75
3 2 1 21
0 5 1 47
1 1 3 25
1 2 4 52
2 3 2 27
3 2 1 21
1 2 1 21
3 2 3 100
4 5 1 87
4 1 2 50
0 3 2 30
1 1 4 16
2 5 1 72
4 2 4 19
2 3 1 29
2 4 2 4
3 4 1 95
4 1 2 12
4 3 3 99
3 4 1 24
3 5 1 80
2 3 1 41
3 3 2 94
3 1 5 96
3 4 2 19
4 4 2 14
2 5 1 74
3 1 4 20
2 2 1 72
2 3 2 26
1 4 1 53
3 1 1 7
3 2 3 10
1 3 3 46
2 3 1 1
2 1 5 98
1 5 1 95
2 2 3 18
0 5 1 84
0 2 1 45
0 5 1 45
3 3 1 66
4 5 1 32
3 5 1 8
2 4 2 9
2 4 2 62
0 2 1 34
1 5 1 10
0 2 3 23
2 5 1 77
1 4 1 69
3 1 2 41
1 3 3 86
1 5 1 37
1 4 1 43
1 4 2 23
4 4 1 100
2 1 1 84
2 1 3 14
3 1 3 25
0 2 4 79
0 3 3 55
4 2 3 87
0 5 1 91
2 4 1 68
3 4 2 1
1 5 1 74
1 4 2 92
2 5 1 95
4 4 2 36
4 5 1 83
4 5 1 66
1 3 1 11
4 2 4 14
3 4 1 1
1 1 2 35
3 2 2 74
0 4 2 16
1 5 1 62
0 1 4 96
2 2 3 94
2 1 4 6
0 3 3 40
0 1 5 21
3 3 3 84
4 4 2 36
2 4 1 100
3 3 1 73
4 1 3 32
0 3 3 38
2 1 3 78
4 4 1 70
3 3 1 54
2 2 1 75
0 2 4 21
4 5 1 94
0 1 3 45
0 4 1 96
4 4 1 19
1 3 2 46
3 1 2 18
2 5 1 61
3 4 1 50
3 3 3 50
4 2 1 38
3 4 2 98
3 3 1 91
2 1 5 82
2 4 1 11
3 4 2 71
4 1 3 26
4 2 1 90
0 4 1 17
1 1 4 19
1 2 4 94
0 2 1 1
1 2 1 58
3 1 3 24
2 1 3 97
