7 237 4
1 3 2 6
3 3 2 32
4 1 2 59
2 3 4 89
4 5 1 17
1 1 4 19
0 2 6 85
0 3 5 6
3 3 2 21
0 3 1 6
3 1 5 41
3 5 1 73
0 5 1 39
0 6 2 52
0 7 1 51
4 2 6 52
1 3 5 66
2 6 2 78
3 2 6 25
4 1 5 94
1 7 1 14
4 2 4 66
1 2 3 49
1 5 1 63
4 3 3 51
0 3 5 22
3 6 2 22
4 3 4 92
3 1 2 46
1 6 2 34
4 3 5 21
4 5 2 100
0 2 6 10
2 6 2 24
1 4 1 80
2 7 1 72
0 1 1 96
2 1 5 7
4 3 4 49
0 5 1 6
3 5 2 47
4 5 3 12
4 2 1 36
3 4 3 92
4 3 2 83
3 3 3 76
4 7 1 40
1 5 3 54
4 6 1 60
4 5 3 24
0 5 1 81
3 5 2 86
2 6 2 99
2 5 1 84
3 6 1 39
2 2 5 66
3 1 2 43
2 2 5 78
0 1 4 55
3 5 2 93
3 5 2 92
2 4 3 44
4 3 5 60
3 2 2 8
4 5 1 67
1 6 2 37
0 4 2 78
2 1 5 2
1 6 1 7
1 4 3 50
4 2 4 46
3 2 3 47
2 4 1 52
2 3 4 46
0 4 2 18
0 6 2 43
2 5 3 70
2 1 1 57
1 1 5 37
2 1 6 35
3 7 1 50
2 3 3 79
1 3 1 92
4 1 5 70
1 2 2 67
1 7 1 41
0 5 3 29
2 7 1 53
1 7 1 74
4 6 2 38
1 7 1 63
0 7 1 43
3 6 1 78
4 2 5 83
2 6 1 47
1 5 3 8
2 2 3 19
3 1 2 26
1 7 1 75
3 7 1 32
4 5 2 77
1 4 4 17
0 4 4 30
2 5 2 92
4 6 1 21
1 5 1 96
1 1 1 33
2 4 4 23
3 1 2 62
4 1 5 69
1 1 2 58
4 7 1 5
4 3 2 73
0 2 4 26
4 6 2 100
4 6 2 19
1 7 1 60
3 6 1 43
2 6 1 83
2 2 6 55
2 6 2 73
0 3 1 50
0 4 3 64
1 1 6 96
0 5 1 44
4 2 4 9
2 7 1 26
1 6 1 19
0 5 3 59
3 4 2 91
2 7 1 53
1 5 2 2
0 7 1 64
0 4 4 33
2 4 4 94
3 2 2 72
1 2 4 70
4 2 1 10
2 2 1 8
3 3 2 18
1 3 3 34
1 2 1 26
2 1 3 7
1 2 2 63
3 6 2 91
1 2 2 25
2 7 1 43
1 1 5 75
1 3 5 89
0 5 2 12
2 7 1 69
0 3 2 90
2 3 2 41
4 6 2 78
2 2 4 56
3 3 2 69
1 1 3 41
1 2 5 75
1 2 5 33
0 3 5 67
4 7 1 64
0 7 1 28
4 4 3 7
3 1 4 52
0 3 1 95
3 7 1 92
1 2 2 34
4 5 1 93
2 2 5 64
2 6 2 64
1 3 5 18
3 4 4 61
2 4 4 2
1 6 1 70
2 6 2 92
3 2 5 16
4 5 2 53
4 1 6 20
2 7 1 31
0 5 3 95
4 7 1 2
2 6 2 93
3 4 3 7
4 3 2 33
4 2 4 60
1 4 3 70
3 5 1 69
4 6 1 58
0 1 6 71
1 2 3 6
0 2 2 40
0 1 6 63
0 6 2 60
2 6 1 5
3 4 1 8
1 4 4 26
2 2 2 10
0 7 1 44
4 2 6 78
3 2 4 66
0 2 2 5
0 1 3 25
3 3 2 13
1 1 3 88
3 5 1 6
1 6 2 7
4 1 5 21
3 2 6 82
2 3 4 67
2 4 4 27
0 2 1 70
0 1 3 23
4 1 3 3
1 6 2 19
4 5 1 13
0 4 1 79
0 1 4 23
2 7 1 2
1 4 1 33
2 6 1 43
4 7 1 25
0 4 4 24
3 6 1 55
1 1 3 38
0 5 1 72
1 5 3 66
4 7 1 22
2 1 2 33
0 6 2 53
3 1 7 7
0 4 4 78
4 5 3 78
1 5 1 30
3 7 1 75
3 5 1 79
0 5 2 79
0 7 1 13
