8 300 40
4 1 1 19
3 2 7 18
3 7 1 17
2 4 2 39
0 2 4 97
4 6 3 39
4 8 1 94
2 5 4 99
3 6 2 59
1 7 1 5
0 8 1 59
1 7 2 61
0 5 4 37
1 4 1 13
1 8 1 72
2 3 5 85
1 6 2 3
2 7 1 99
4 5 1 5
1 6 3 3
0 3 3 48
4 6 1 51
1 2 7 77
0 3 6 35
0 2 6 61
3 2 7 28
0 6 2 26
4 1 7 4
3 4 5 71
0 3 2 44
0 8 1 54
3 7 2 7
1 8 1 12
4 1 6 45
4 1 5 37
3 6 3 32
0 8 1 28
2 4 3 80
3 1 5 97
0 6 3 63
3 3 6 13
2 3 1 4
3 8 1 37
4 7 1 56
0 8 1 5
0 7 1 87
0 6 1 72
1 1 7 23
3 8 1 6
0 8 1 79
0 2 4 11
1 3 6 71
4 3 6 86
3 6 1 58
1 6 2 34
4 6 3 61
2 8 1 37
0 1 7 30
2 8 1 61
2 2 7 73
3 1 5 61
3 8 1 72
1 1 3 31
1 7 2 91
1 4 2 13
4 4 4 39
1 8 1 50
2 5 4 90
0 2 5 76
3 5 2 57
4 7 1 96
2 3 6 68
2 3 3 19
3 3 3 100
2 4 1 30
3 3 5 51
0 7 2 94
3 6 3 33
1 8 1 64
2 3 5 80
3 5 2 56
2 5 4 80
2 3 5 97
0 4 3 23
1 7 1 7
1 2 6 89
0 5 1 87
0 5 2 91
0 3 6 53
4 3 4 39
4 6 3 52
2 8 1 2
4 2 5 64
4 1 6 64
3 5 3 5
3 3 4 34
0 4 2 81
2 4 4 38
0 3 2 98
0 7 1 88
3 8 1 47
4 3 6 70
3 8 1 27
3 4 3 72
2 8 1 33
3 8 1 36
2 4 2 47
2 2 7 54
0 2 1 54
1 1 3 63
0 7 2 95
1 1 7 17
3 7 2 35
1 7 1 49
4 8 1 79
2 8 1 51
4 7 2 20
3 2 1 52
1 8 1 87
2 8 1 82
2 2 2 45
1 1 4 65
4 8 1 87
2 1 8 35
3 7 2 18
4 6 2 92
3 5 2 7
4 3 6 29
4 7 1 50
3 7 2 80
1 2 3 18
4 6 1 10
3 3 6 67
3 5 1 15
4 6 2 21
0 1 8 92
2 8 1 43
2 8 1 59
1 8 1 16
1 6 1 45
2 1 8 87
4 7 1 29
2 1 3 7
0 3 1 31
0 5 3 6
4 4 1 1
0 1 5 62
1 1 8 94
3 3 5 42
4 5 3 75
4 8 1 24
1 7 2 64
2 4 1 57
1 3 2 75
0 5 2 26
4 7 1 43
3 8 1 28
1 6 3 96
4 2 3 60
0 7 2 33
0 7 2 51
3 6 2 47
0 5 4 82
0 8 1 32
2 1 7 98
3 3 3 28
0 7 2 16
0 2 3 53
0 5 2 45
2 4 5 23
1 8 1 33
2 5 3 51
3 4 5 79
4 2 3 59
1 8 1 83
2 1 7 36
1 6 1 57
0 5 2 30
1 6 2 88
4 5 4 50
1 3 3 55
1 5 1 86
2 3 2 45
0 2 1 66
2 3 1 89
4 2 7 88
3 7 1 38
1 8 1 20
1 5 2 51
1 3 2 20
2 2 1 2
1 7 2 52
0 3 5 24
2 1 5 30
3 4 2 58
1 7 2 30
3 3 1 26
4 4 3 9
4 4 2 31
3 7 2 49
2 6 2 83
3 4 2 74
1 4 5 83
0 1 3 18
1 3 1 20
1 1 1 89
0 2 5 30
3 3 5 13
4 4 4 28
4 3 3 34
2 7 1 86
1 6 3 46
1 7 2 41
0 1 2 37
0 3 5 34
1 1 2 93
2 6 3 25
0 4 1 66
0 5 4 49
1 6 1 5
2 7 2 1
2 4 3 92
1 7 2 32
2 3 6 75
3 2 1 69
0 1 2 68
4 7 2 39
3 1 1 79
4 1 2 73
3 2 7 30
1 6 3 21
0 8 1 89
2 2 5 77
1 1 1 94
1 4 2 16
1 8 1 25
0 7 1 20
1 4 5 4
1 8 1 78
2 1 7 91
4 6 3 95
0 4 1 67
2 4 4 20
0 2 4 66
2 8 1 30
3 1 4 100
1 6 2 50
0 4 4 35
0 4 3 73
3 2 7 39
3 7 1 92
3 7 2 14
4 4 3 36
4 1 8 16
2 7 2 62
4 3 6 27
2 6 2 14
3 4 2 19
4 6 1 95
1 8 1 49
2 3 1 1
4 4 3 47
0 3 6 4
0 5 4 18
0 3 1 3
3 1 7 30
3 8 1 25
1 4 5 44
4 6 1 89
0 3 1 42
4 3 5 78
4 3 1 88
3 3 4 90
4 1 8 44
2 5 1 59
2 3 6 54
0 4 5 76
4 4 3 67
0 5 3 87
0 3 4 73
0 7 2 73
3 5 2 85
3 5 2 87
3 5 3 31
2 5 4 90
1 1 3 28
1 3 3 91
4 7 2 2
2 6 2 75
4 3 5 73
4 1 4 83
1 2 4 95
2 1 4 92
3 2 6 48
3 5 4 15
0 6 1 6
4 8 1 21
2 5 1 45
0 7 2 38
1 3 2 11
