5 130 19
2 3 2 74
0 2 4 73
0 5 1 69
4 1 2 79
3 4 2 41
4 5 1 57
3 1 3 33
2 3 2 65
0 5 1 60
0 4 1 72
4 5 1 21
3 4 2 77
2 4 1 35
1 3 2 7
3 1 1 96
1 5 1 62
3 5 1 36
3 3 3 28
3 4 2 18
3 2 3 77
4 1 2 85
3 2 3 14
0 1 2 80
1 2 4 56
2 2 4 42
1 3 2 89
4 2 2 4
2 3 3 97
3 5 1 25
4 2 2 86
2 1 5 85
2 5 1 48
0 2 2 24
1 1 2 20
4 1 1 76
0 4 2 35
2 1 5 58
0 5 1 23
3 4 2 55
0 1 1 28
3 1 1 96
3 4 1 24
1 2 4 49
1 5 1 98
4 5 1 61
1 4 2 2
1 1 1 79
2 3 3 38
4 4 1 85
1 1 3 61
2 4 1 100
2 3 2 23
3 4 2 24
1 5 1 89
0 1 4 92
4 1 4 45
1 1 2 47
1 2 1 43
2 4 2 71
0 1 3 1
3 1 3 13
0 2 3 2
0 5 1 18
0 4 2 17
2 2 2 58
3 5 1 59
0 3 2 12
1 1 1 23
4 3 1 59
0 3 1 97
2 4 1 13
0 4 2 71
1 2 1 63
0 2 3 64
0 2 4 82
2 5 1 84
3 2 4 95
4 3 1 32
4 1 1 50
0 4 1 46
1 5 1 93
0 3 3 38
2 3 3 41
3 4 1 61
4 3 2 31
4 4 1 17
0 1 1 36
3 4 2 78
2 2 4 60
3 3 3 93
4 4 1 54
0 3 1 44
4 3 1 97
1 1 3 23
2 2 3 19
1 2 2 47
3 1 5 53
1 1 3 46
0 1 1 100
2 5 1 8
3 5 1 48
1 3 2 26
1 5 1 75
3 5 1 74
3 4 1 55
4 4 1 4
3 1 4 7
0 3 1 69
2 1 5 64
2 1 3 19
2 4 2 61
1 5 1 30
4 4 2 10
1 4 2 43
1 3 2 31
2 4 2 7
0 3 3 2
1 3 1 100
3 1 3 60
3 2 1 91
2 1 1 94
4 2 1 43
1 4 1 56
4 2 3 63
3 5 1 25
3 3 3 71
0 5 1 60
4 4 2 85
1 2 4 91
1 3 2 53
