2 138 6
1 1 1 58
3 2 1 56
0 1 1 34
3 1 1 79
0 2 1 79
4 2 1 67
0 2 1 92
1 1 1 40
3 1 2 37
0 1 2 71
1 1 2 87
1 2 1 74
3 2 1 78
4 2 1 34
4 2 1 85
3 2 1 56
0 2 1 88
2 1 1 84
0 1 2 89
0 1 1 59
0 1 2 7
2 1 2 91
1 2 1 68
3 2 1 13
4 1 2 5
0 1 1 41
2 2 1 4
1 2 1 81
3 1 1 8
1 1 2 73
0 2 1 32
0 2 1 63
2 2 1 3
3 2 1 44
3 1 1 40
3 2 1 48
2 2 1 99
1 2 1 41
2 2 1 81
2 2 1 51
2 2 1 19
3 2 1 44
0 1 1 6
3 2 1 40
2 1 1 95
3 1 2 25
3 2 1 99
0 2 1 4
4 1 2 71
3 1 2 41
1 1 2 13
3 2 1 18
0 2 1 24
4 1 2 31
2 1 1 15
2 2 1 46
2 1 1 69
1 2 1 4
0 1 1 9
0 2 1 65
4 1 2 91
1 2 1 2
2 2 1 64
4 2 1 86
0 1 2 96
2 2 1 7
3 2 1 98
0 1 2 53
3 2 1 62
1 1 2 99
3 1 2 46
2 2 1 86
4 2 1 73
4 1 1 16
0 2 1 33
2 2 1 2
1 1 2 71
4 2 1 48
4 2 1 33
0 1 1 60
2 2 1 86
2 1 1 67
1 2 1 37
0 1 2 69
2 2 1 50
2 1 1 95
3 2 1 65
2 1 2 56
4 1 1 25
2 1 1 90
0 2 1 66
0 2 1 93
0 2 1 81
2 1 1 52
0 2 1 23
1 1 1 80
0 2 1 25
0 1 2 79
2 2 1 69
1 2 1 30
1 1 1 90
2 1 2 25
0 2 1 66
2 1 1 38
3 2 1 75
0 2 1 29
4 2 1 36
4 2 1 12
1 2 1 40
1 2 1 24
3 2 1 31
2 2 1 69
0 1 1 25
3 1 2 28
4 2 1 81
2 2 1 72
2 2 1 91
4 1 1 19
2 1 1 72
1 1 2 57
1 2 1 81
1 1 1 45
2 2 1 31
1 2 1 64
2 1 2 96
0 1 1 89
0 2 1 75
4 1 1 46
1 1 1 54
0 1 1 63
3 1 2 91
1 2 1 51
1 1 1 69
1 1 1 95
0 1 2 35
1 1 2 21
2 2 1 53
2 2 1 66
