100000 99999
14008 1259 1000000000
73946 77865 1000000000
24192 9716 1000000000
13374 62795 1000000000
88926 40841 1000000000
84491 40647 1000000000
1169 96599 1000000000
65743 72415 1000000000
67715 1629 1000000000
15792 49170 1000000000
62180 67924 1000000000
87874 64454 1000000000
33999 33947 1000000000
9098 55197 1000000000
32473 10577 1000000000
76705 60700 1000000000
13290 27518 1000000000
49675 91695 1000000000
43479 41723 1000000000
7610 59009 1000000000
29107 49219 1000000000
42657 62593 1000000000
75695 25095 1000000000
95983 62445 1000000000
4448 51119 1000000000
2119 41400 1000000000
21694 25197 1000000000
42433 18193 1000000000
91926 44633 1000000000
26125 63689 1000000000
71194 99175 1000000000
87769 58209 1000000000
65319 85730 1000000000
11467 69276 1000000000
41160 77992 1000000000
15407 92380 1000000000
23200 30742 1000000000
91139 22365 1000000000
5718 95560 1000000000
5559 89895 1000000000
64818 56079 1000000000
31194 14649 1000000000
98560 72391 1000000000
3815 65649 1000000000
16567 75544 1000000000
15468 45193 1000000000
52977 78543 1000000000
75967 77358 1000000000
70858 56649 1000000000
79418 70732 1000000000
72217 90553 1000000000
56167 78717 1000000000
36796 91409 1000000000
40766 37373 1000000000
80570 75016 1000000000
85431 95063 1000000000
88750 95571 1000000000
43008 95397 1000000000
44520 50945 1000000000
53629 47287 1000000000
62509 6816 1000000000
24906 11063 1000000000
96452 8971 1000000000
73708 69553 1000000000
46450 36848 1000000000
97148 37546 1000000000
92861 30408 1000000000
87636 86446 1000000000
62980 88860 1000000000
17368 79840 1000000000
77000 29622 1000000000
73485 21033 1000000000
32946 87041 1000000000
34820 98768 1000000000
48703 32750 1000000000
17326 77595 1000000000
9824 50949 1000000000
3160 1926 1000000000
82030 68005 1000000000
68154 83925 1000000000
30057 2633 1000000000
87354 4871 1000000000
78190 48368 1000000000
73779 55890 1000000000
9424 47564 1000000000
98987 24521 1000000000
31657 2328 1000000000
304 72250 1000000000
92927 29864 1000000000
16473 78097 1000000000
19965 16130 1000000000
41941 55175 1000000000
79856 77259 1000000000
3063 87999 1000000000
98607 51283 1000000000
15922 99540 1000000000
79399 61729 1000000000
88751 80118 1000000000
54399 98716 1000000000
13046 52607 1000000000
82865 2837 1000000000
50932 39890 1000000000
29475 7983 1000000000
92899 11784 1000000000
36535 44294 1000000000
13209 57549 1000000000
97609 50918 1000000000
33689 34642 1000000000
39665 16189 1000000000
12665 29323 1000000000
12330 13469 1000000000
10315 51222 1000000000
31221 21162 1000000000
2292 696 1000000000
79652 37863 1000000000
21784 44936 1000000000
73723 81314 1000000000
4397 30376 1000000000
8267 30760 1000000000
696 43901 1000000000
65766 4114 1000000000
64137 93542 1000000000
28243 76621 1000000000
67073 37118 1000000000
8700 93643 1000000000
43302 14979 1000000000
48068 77276 1000000000
58134 86438 1000000000
46922 95918 1000000000
30487 74899 1000000000
15582 58738 1000000000
