100000 100019
73852 57421 1000000000
57421 73852 1000000000
34332 53882 1000000000
53882 34332 1000000000
75994 11295 1000000000
11295 75994 1000000000
14862 47751 1000000000
47751 14862 1000000000
87659 76210 1000000000
76210 87659 1000000000
83257 33600 1000000000
33600 83257 1000000000
38619 34188 1000000000
34188 38619 1000000000
30579 28517 1000000000
28517 30579 1000000000
34135 29830 1000000000
29830 34135 1000000000
5587 87240 1000000000
87240 5587 1000000000
83123 100000 1000000000
65525 83123 1000000000
35142 65525 1000000000
18756 35142 1000000000
1300 18756 1000000000
21858 1300 1000000000
61299 21858 1000000000
68150 61299 1000000000
53107 68150 1000000000
3333 53107 1000000000
85487 3333 1000000000
53360 85487 1000000000
42577 53360 1000000000
23149 42577 1000000000
7910 23149 1000000000
15910 7910 1000000000
13487 15910 1000000000
80770 13487 1000000000
27295 80770 1000000000
79739 27295 1000000000
59037 79739 1000000000
80730 59037 1000000000
51418 80730 1000000000
39482 51418 1000000000
48373 39482 1000000000
10572 48373 1000000000
61992 10572 1000000000
97779 61992 1000000000
44934 97779 1000000000
14376 44934 1000000000
56131 14376 1000000000
9592 56131 1000000000
42320 9592 1000000000
34301 42320 1000000000
22890 34301 1000000000
47739 22890 1000000000
91634 47739 1000000000
91189 91634 1000000000
94432 91189 1000000000
66600 94432 1000000000
5376 66600 1000000000
67105 5376 1000000000
22813 67105 1000000000
50856 22813 1000000000
52905 50856 1000000000
64870 52905 1000000000
93361 64870 1000000000
8461 93361 1000000000
52061 8461 1000000000
83513 52061 1000000000
30124 83513 1000000000
33229 30124 1000000000
17238 33229 1000000000
63950 17238 1000000000
60775 63950 1000000000
75640 60775 1000000000
70995 75640 1000000000
98595 70995 1000000000
86445 98595 1000000000
85349 86445 1000000000
51437 85349 1000000000
48526 51437 1000000000
85698 48526 1000000000
52647 85698 1000000000
18306 52647 1000000000
34739 18306 1000000000
76061 34739 1000000000
79107 76061 1000000000
44526 79107 1000000000
81130 44526 1000000000
90642 81130 1000000000
90138 90642 1000000000
34351 90138 1000000000
98149 34351 1000000000
99754 98149 1000000000
44408 99754 1000000000
6154 44408 1000000000
7758 6154 1000000000
25514 7758 1000000000
83863 25514 1000000000
8583 83863 1000000000
44896 8583 1000000000
