200 2046
1 109 10
1 11 228
1 198 480
1 142 489
1 97 182
1 183 508
1 79 31
1 45 175
1 145 382
1 71 450
1 96 379
1 51 297
1 112 377
1 150 458
1 49 390
1 148 2
1 173 412
1 171 228
109 72 20
109 198 209
109 17 124
109 144 110
109 106 516
109 79 54
109 9 473
109 67 283
109 103 354
109 38 362
109 181 446
72 91 30
72 104 437
72 66 526
72 26 75
72 26 455
72 161 74
72 15 69
72 145 531
72 71 427
72 68 126
72 185 490
91 178 40
91 94 459
91 12 2
91 138 326
91 19 349
91 107 404
91 64 348
91 55 427
91 28 164
178 23 50
178 30 434
178 152 522
178 59 55
178 45 274
178 165 229
178 13 28
178 88 57
178 171 350
178 124 66
23 104 60
23 170 355
23 144 506
23 31 41
23 6 14
23 96 444
23 61 499
23 101 224
23 40 503
23 81 422
104 166 70
104 11 422
104 191 205
104 45 275
104 96 170
104 119 92
104 163 365
104 27 39
104 182 79
166 35 80
166 152 521
166 122 261
166 75 140
166 75 499
166 103 383
166 190 181
166 154 450
166 197 200
166 200 538
35 1 235
35 11 90
35 158 468
35 159 368
35 199 175
35 93 513
35 63 163
35 165 510
35 40 412
35 134 113
35 124 67
11 104 172
11 155 100
11 10 313
11 191 135
11 58 191
11 161 166
11 16 150
11 67 424
11 71 90
11 197 251
11 118 416
11 78 497
11 25 298
11 81 104
11 149 474
155 109 12
155 10 110
155 105 493
155 41 438
155 139 107
155 117 39
155 159 500
155 67 70
155 6 134
155 98 146
155 86 181
155 54 114
155 78 1
155 81 244
155 148 316
10 104 56
10 4 120
10 76 275
10 144 348
10 93 468
10 71 232
10 38 136
10 110 444
4 1 55
4 30 130
4 12 347
4 33 109
4 33 114
4 142 219
4 122 302
4 130 448
4 146 212
4 75 553
4 6 508
4 119 441
4 5 272
4 48 434
4 69 429
4 52 534
4 124 262
30 94 140
30 100 105
30 113 319
30 57 148
30 121 178
30 121 393
30 27 528
30 47 148
30 87 260
94 50 147
94 50 150
94 191 470
94 144 186
94 58 347
94 31 471
94 77 76
94 63 527
94 82 430
94 148 59
94 47 168
94 47 310
50 178 479
50 186 160
50 176 485
50 158 484
50 157 535
50 159 151
50 108 428
50 58 385
50 18 537
50 53 314
50 38 67
50 129 552
50 101 556
50 118 123
186 46 170
186 41 400
186 139 471
186 170 108
186 36 308
186 3 420
186 106 452
186 113 119
186 146 239
186 56 201
186 75 369
186 9 321
186 63 43
186 5 501
186 13 321
186 110 22
186 81 52
186 185 20
186 87 446
46 50 432
46 186 99
46 167 180
46 138 223
46 164 449
46 97 115
46 144 311
46 58 374
46 14 505
46 81 491
167 66 190
167 65 354
167 102 269
167 157 291
167 32 245
167 14 541
167 98 240
167 165 245
167 78 203
167 115 69
66 11 349
66 10 284
66 50 536
66 99 200
66 183 365
66 108 406
66 75 421
66 145 446
66 39 190
66 39 424
66 62 257
66 182 379
99 109 86
99 186 330
99 152 210
99 105 146
99 191 459
99 170 327
99 113 467
99 92 168
99 98 15
99 180 388
99 86 559
99 179 166
99 81 473
99 55 404
152 91 233
152 12 220
152 65 242
152 142 466
152 21 126
152 36 150
152 122 478
152 108 324
152 118 200
152 29 21
152 195 323
12 65 230
12 108 481
12 147 545
12 75 171
12 14 344
12 85 500
65 1 115
65 50 246
65 105 240
65 21 498
65 158 41
65 111 230
65 161 358
65 193 427
65 107 374
65 24 342
65 129 393
65 51 275
65 43 8
105 35 248
105 152 207
105 100 250
105 170 19
105 122 507
105 95 75
105 9 374
105 7 54
105 63 479
105 180 102
105 165 123
105 172 517
100 114 260
100 114 515
100 3 500
100 26 410
100 45 524
100 86 8
100 160 118
100 25 418
114 189 270
114 26 415
114 127 204
114 61 327
114 172 384
114 179 187
114 200 543
189 109 13
189 11 546
189 138 280
189 36 522
189 137 356
189 60 465
189 58 392
189 193 159
189 51 176
189 118 147
189 52 449
138 152 412
138 164 290
138 135 429
138 75 435
138 78 186
138 173 386
138 194 312
138 182 248
164 99 174
164 176 300
164 139 195
164 32 105
164 174 545
164 37 482
164 121 171
164 52 550
164 55 524
176 99 228
176 198 310
176 79 248
176 60 231
176 161 134
176 84 520
176 103 378
176 48 494
176 61 556
176 86 290
176 29 423
176 68 295
176 179 408
176 181 182
176 123 254
176 115 444
176 47 256
198 155 140
198 138 186
198 33 320
198 142 539
198 102 273
198 59 501
198 14 289
198 62 492
198 181 453
198 171 102
198 185 550
33 105 176
33 126 330
33 196 263
33 111 394
33 141 304
33 123 139
126 91 222
126 4 191
126 162 340
126 8 265
126 122 311
126 26 47
126 26 291
126 70 165
126 145 277
126 67 103
126 140 149
126 194 513
126 85 424
126 200 78
162 91 524
162 23 294
162 104 461
162 142 350
162 20 239
162 170 313
162 184 323
162 22 257
162 57 215
162 25 56
162 25 525
162 85 315
162 182 440
142 105 405
142 198 402
142 41 360
142 39 374
142 53 300
142 57 515
142 89 391
142 150 96
142 78 193
41 11 123
41 94 248
41 198 558
41 102 370
41 137 217
41 26 309
41 45 362
41 75 33
41 197 117
41 156 189
41 194 78
102 33 412
102 20 380
102 196 55
102 45 136
102 128 330
102 55 322
20 35 386
20 176 258
20 139 390
20 21 290
20 59 231
20 193 435
20 160 417
20 52 374
20 28 171
139 11 491
139 198 132
139 135 400
139 76 91
139 59 342
139 146 335
139 147 43
139 15 430
139 42 104
139 64 492
135 8 410
135 191 450
135 158 134
135 79 514
135 113 211
135 26 514
135 31 454
135 84 80
135 43 533
135 195 11
135 52 269
8 104 249
8 104 389
8 30 75
8 76 420
8 15 471
8 177 436
8 82 310
8 78 11
8 148 45
8 185 345
76 162 318
76 19 430
76 36 168
76 153 44
76 199 297
76 143 454
76 129 380
19 191 440
19 117 250
19 45 21
19 84 489
19 38 474
19 127 535
191 11 130
191 100 295
191 21 450
191 59 272
191 158 181
191 130 159
191 95 409
191 177 201
191 140 264
191 175 350
21 97 460
21 130 315
21 70 403
21 31 80
21 107 75
21 177 28
21 177 317
21 77 365
21 197 335
21 165 69
21 120 381
21 163 130
97 109 53
97 94 29
97 152 27
97 105 254
97 133 470
97 93 328
97 103 447
97 89 220
97 28 463
97 47 239
133 186 312
133 66 414
133 21 156
133 80 480
133 144 231
133 70 9
133 161 369
133 93 498
133 136 554
133 177 310
133 143 129
133 140 277
133 119 488
133 89 355
133 86 367
133 134 334
133 182 31
80 198 205
80 139 428
80 170 490
80 59 258
80 111 357
80 53 140
80 96 372
80 180 102
80 120 198
80 68 490
80 73 109
80 163 487
80 81 437
80 194 25
80 85 415
170 1 71
170 152 415
170 105 263
170 198 409
170 135 239
170 17 500
170 122 352
170 83 180
170 199 57
170 112 310
170 64 24
170 156 410
170 69 536
170 150 393
17 23 153
17 30 438
17 100 151
17 170 232
17 144 510
17 36 273
17 63 115
17 40 362
17 73 222
144 178 380
144 155 126
144 50 81
144 152 163
144 176 541
144 36 520
144 180 147
144 121 457
144 55 172
36 30 231
36 167 526
36 152 431
36 138 8
36 3 530
36 122 367
36 161 471
36 53 538
36 116 534
36 154 223
36 2 445
36 54 458
36 69 394
36 81 153
3 109 66
3 186 23
3 152 95
3 105 151
3 106 540
3 137 399
3 98 246
3 151 369
3 160 146
3 78 299
3 149 446
106 142 275
106 76 458
106 21 199
106 122 550
106 196 159
106 161 270
106 42 155
106 6 208
106 180 171
106 197 485
106 101 355
106 43 248
106 55 151
122 96 78
122 192 305
122 192 394
122 150 325
183 91 215
183 100 423
183 70 28
183 199 338
183 116 43
183 156 560
183 187 381
59 1 507
59 11 385
59 41 407
59 15 198
44 186 456
44 15 89
44 136 435
44 84 89
44 98 383
44 197 257
137 138 318
137 19 389
137 130 289
137 96 510
137 57 219
137 89 219
137 86 523
137 173 413
137 87 258
158 104 362
158 138 98
158 142 335
158 111 346
158 199 119
158 89 534
158 40 156
158 27 102
158 87 521
79 94 555
79 102 220
79 76 144
79 183 138
79 113 279
79 131 9
79 136 57
79 13 75
79 87 131
169 105 274
169 139 393
169 8 6
169 7 240
169 190 168
169 112 383
169 115 418
169 187 526
184 142 127
184 8 313
184 42 248
184 32 225
184 77 184
184 190 383
184 5 380
184 5 387
184 55 546
113 109 412
113 46 502
113 19 194
113 133 507
113 70 156
113 145 202
113 84 82
113 118 67
113 54 452
113 68 133
113 25 408
113 52 166
131 152 429
131 65 316
131 97 268
131 22 285
131 177 115
131 177 507
131 192 286
131 118 501
131 200 554
117 126 250
117 119 180
117 154 550
117 128 516
117 47 54
117 200 20
83 4 68
83 45 530
83 120 21
83 134 11
83 125 164
26 104 195
26 139 356
26 183 411
26 157 105
26 111 46
26 51 251
26 180 367
26 54 245
26 54 288
26 69 147
26 120 419
26 150 163
60 94 84
60 65 89
60 80 541
60 44 198
60 16 44
60 193 426
60 56 499
60 75 142
60 32 226
60 92 166
60 57 128
60 98 221
60 51 157
60 51 553
60 154 330
60 182 294
60 87 12
196 102 177
196 102 368
196 19 165
196 106 190
196 146 387
196 22 89
196 71 449
196 127 353
196 98 392
196 156 87
196 69 432
196 88 499
153 155 409
153 162 95
153 135 221
153 8 119
153 83 492
153 92 488
153 67 475
153 6 508
